custom_id,input_text,output_text,input_file,output_file,matched
0,"Email 1:
Hello Mr. Hernandez,                    Do you have any potential fixtures for 2,000MT of cotton from Portsmouth to Singapore?                    Looking forward to hearing from you.                    Regards,                    Bruno
Email 2:
Hello Mr. Hernandez, Do you have any potential fixtures for 2,000MT of cotton from Portsmouth to Singapore? Looking forward to hearing from you. Regards, Bruno
Email 3:
Hello Mr. Hernandez,

<Email 4>:
Hello Mr. Hernandez,

Do you have any potential fixtures for 2,000MT of cotton from Portsmouth to Singapore? Do you have a 50% premium above your current freight rate?

Regards,
Bruno","From: tom.watson@tradingco.com
To: adam.rivera@shipbroker.com
Subject: CPO Shipment Inquiry - Medan to Manila
Timestamp: 2023-07-01 09:15
Body: Hey Mr. Rivera,

Quick question: any laycan slots left in the first week of July for 9,500MT of crude palm oil from Medan to Manila? Also, what daily demurrage rate are you proposing?

Best,
Tom

---
From: adam.rivera@shipbroker.com
To: tom.watson@tradingco.com
Subject: Re: CPO Shipment Inquiry - Medan to Manila
Timestamp: 2023-07-01 11:30
Body: Great to connect Tom,

I am running a shipping business focused on existing and emerging markets. We have partners across major ports in Asia, South America, Middle East, and Africa.

Regarding your palm oil inquiry, could you provide more details about your requirements? What's your preferred loading window and any specific vessel requirements?

Look forward to your response.

Best regards,
Adam Rivera

---
From: tom.watson@tradingco.com
To: adam.rivera@shipbroker.com
Subject: Re: CPO Shipment Inquiry - Medan to Manila
Timestamp: 2023-07-01 14:45
Body: Adam,

What's the story behind the price and production numbers in that email? Can you forward me any articles or reports on palm oil market conditions?

Regards,
Tom

---
From: adam.rivera@shipbroker.com
To: tom.watson@tradingco.com
Subject: Re: CPO Shipment Inquiry - Medan to Manila
Timestamp: 2023-07-02 08:20
Body: Tom,

Apologies for my delayed response. I've been quite busy with other commitments. I've reviewed the cargo details and discussed with our partners. While I can't disclose specific buyer/seller information, I can confirm the vessel availability and rates for your required loading window.

Shall we proceed with discussing the specific terms?

Best regards,
Adam
",msgbatch_01TtUmp2URhLGUVULRwFSPfs.jsonl,msgbatch_01VhAya2GdcUf4FqRaNmkrjn.json,True
1,"Email 1:
This afternoon we sent you an email with some details of wheat we have available from Odessa. We have now received a verbal enquiry from our freight forwarders and they are suggesting your carrier should provide a specific response.                    Thank you,                    Nigel
Email 2:
Holloway Australia would be pleased to quote the carriage of the above cargo from Odessa, Ukraine to Brisbane on your behalf. Your request can be handled using either the Fast Sea Link Service or the Westport Direct Service.

<Email 3>:
Thank you for your reply. Based on the advice we have received from our shipping line, please find details below:
Email 3:
Thank you for your reply. Based on the advice we have received from our shipping line, please find details below:

<Email 3>:
 To be quoted:        Quantity:   3800mt                From:       Odessa, Ukraine                    To:        Brisbane, Queensland                At:        FOB                        By:        Westport Direct Service                        ETA Brisbane:    December, 2020                Comment:     Indicate accuracy of timing as accurately as possible (e.g. “projected” or “anticipated”)","From: trader@rometrading.com
To: broker@maritime.com
Subject: LDPE Shipment Rome-Tangier Query
Timestamp: 2024-01-15 09:30
Body: Looking to ship 50MT LDPE from Rome to Tangier next week. Would MV Davy J be available for this route?

---
From: broker@maritime.com
To: trader@rometrading.com
Subject: Re: LDPE Shipment Rome-Tangier Query
Timestamp: 2024-01-15 10:15
Body: Our vessel at Point Pelle is currently near capacity. Alternative routes via UK and UK/Antwerp are available with dates starting 3 weeks from now.

---
From: trader@rometrading.com
To: broker@maritime.com
Subject: Re: LDPE Shipment Rome-Tangier Query
Timestamp: 2024-01-15 11:00
Body: For Denmark shipment of Flour and Chutney: Quoted prices are USD 140 base rate plus freight surcharges and 40-180 cents per ton for backland transport.

---
From: researcher@maritime.com
To: team@maritime.com
Subject: Re: LDPE Shipment Rome-Tangier Query
Timestamp: 2024-01-15 11:45
Body: An interesting scientific question has come up regarding neural processing systems: Can we reverse engineer a functional brain on a small scale? We understand the basic process of visual perception through the lens and retina, and neural pathway signal processing. The question is whether we can synthesize these components to create a working organic brain with only the essential elements.
",msgbatch_01TtUmp2URhLGUVULRwFSPfs.jsonl,msgbatch_01VhAya2GdcUf4FqRaNmkrjn.json,True
10,"Email 1:
Dear Mr. John,                    We’re looking to organize a charter from the Nynas refinery in Rafina, Greece, to the Gulf of Mexico for a product called Nynas 39. Do you have any plans for this?                    Many thanks in advance,                    Bob
Email 2:
I’m interested to offer you our tanker for this charter.

<Email 3>:
Yes, thank you for your answer. I was looking for your [brokers] list, where I could see the owners you represent, as well as the vessels you are presently looking to fix.                   We might be interested in this charter as well.                   Regards,

Mr. John
Let me send to you our fleet and please go through it.

Email 4:
Dear Mr. John,                   You will find attached our fleet.                   Do you have any projects for charter?                   Many thanks in advance,                   Bob
Email 3:
Yes, thank you for your answer. I was looking for your [brokers] list, where I could see the owners you represent, as well as the vessels you are presently looking to fix.                   We might be interested in this charter as well.                   Regards,

Mr. John
Let me send to you our fleet and please go through it.
Email 4:
Dear Mr. John,                   You will find attached our fleet.                   Do you have any projects for charter?                   Many thanks in advance,                   Bob
Email 5:
Dear Mr. John,

Can you share with me your contacts?

Best Regards,
Mr. John
Here you go please","From: chris.smith@trader.com
To: jane.wilson@shipping.com
Subject: Corn Oil Shipment Inquiry - Galveston to Qingdao
Timestamp: 2024-05-01 09:30
Body: Hello,

Can your vessel load 4,000MT of corn oil from Galveston to Qingdao by the end of May? We are looking for an L/C T/C with an expiry of 15 days.

Best,
Chris

---
From: jane.wilson@shipping.com
To: chris.smith@trader.com
Subject: Re: Corn Oil Shipment Inquiry - Galveston to Qingdao
Timestamp: 2024-05-16 18:45
Body: Hi,

This vessel arrived at Qingdao at the end of the day on 16 May. It is ready for discharge and we are unable to arrange unloading before 19 May. We would appreciate if you could send an amended voyage estimate to our agent so we can approve it as soon as possible.

Looking forward to hearing from you.

Best,
Jane

---
From: chris.smith@trader.com
To: jane.wilson@shipping.com
Subject: Re: Corn Oil Shipment Inquiry - Galveston to Qingdao
Timestamp: 2024-05-17 10:15
Body: Hi Jane,

Could you let me know your appointed agent in Qingdao please? We can contact them directly. Also, your intention of discharging on 19 May is not acceptable to us. A vessel lies idle for 10 days at Qingdao is unacceptable for us. If you can't start discharging before 18 May, we are looking for a counter-offer.

Thank you.

Best,
Chris

---
From: jane.wilson@shipping.com
To: chris.smith@trader.com
Subject: Re: Corn Oil Shipment Inquiry - Galveston to Qingdao
Timestamp: 2024-05-17 14:30
Body: Dear Chris,

We have appointed JPT as our agent in Qingdao. This is their contact information:

JPT International Co. Ltd.
Address: Block A, Room 802, No.10 DongHaiNan Road, Qingdao, 266061, P.R.China
Phone: 86-532-80780378/80780379
Fax: 86-532-80780380

Best regards,
Jane

---
From: jane.wilson@shipping.com
To: chris.smith@trader.com
Subject: Re: Corn Oil Shipment Inquiry - Galveston to Qingdao
Timestamp: 2024-05-17 16:45
Body: Dear Chris,

We are concerned with the delay on loading by your charterer in Galveston. We suggest that your charterer completes loading before the vessel arrives in Qingdao. Otherwise, your charterer has to pay the vessel demurrage.

Our voyage estimate has already been prepared and is on its way to you. This is a copy of the voyage estimate for your reference.

Please also note that, according to your contract, the charterer is responsible for the costs of shifting between berths.

Best regards,
Jane
",msgbatch_01TtUmp2URhLGUVULRwFSPfs.jsonl,msgbatch_01VhAya2GdcUf4FqRaNmkrjn.json,True
100,"Email 1:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia
Email 2:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 3>:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 4>:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 5>:
Hi Mr.
Email 3:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 4>:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 5>:
Hi Mr.

<Email 3>:
 Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 4>:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 5>:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 6>:
Hi Mr.
Email 4:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 5>:
Hi Mr.
Email 3:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 4>:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 5>:
Hi Mr.

<Email 3>:
 Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 4>:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 5>:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 6>:
Hi Mr.

<Email 4>:
 Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 5>:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 6>:
Hi Mr. De Anda,                    I'd like to check the costs of shipping 4,000MT of sodium cyanide from La Plata to Trieste. Also, could you let me know your average load time per vessel?                    Thanks,                    Lydia

<Email 7>:
Hi Mr.",,msgbatch_01S5NonEWdot8Gq2QiGHgdty.jsonl,,False
101,"Email 1:
Good morning.                    I’ve got a 70,000mt/400,000 sq. mt. reefer shipment of Bananas in Feulucca (FCL) on 22-02-2008, from La Plata to Southampton.                    If you can handle, please reply with price and cfr [cost and freight] for each option, and typical timescale for handling and dispatch.                    Thanks,                    Derek
Email 2:
Hi Derek,                    Thank you for your enquiry.                    We can book your bananas on the 22.02.08 sailing on one of the following vessels:-                    VESSEL
DESTINATION       VOYAGE          ETA AT LIMEHOUSE              DAYS    PORT                      {US$ per 70,000}        {GBP per 70,000}         {€ per 70,000}
PANAPEMA            LSH           22.02.08            07.03.08            14           LONDON                      4700                           2800                           4000
MACARA              LSH           22.02.08            13.03.08            19           LONDON                      4000                           2400                           3000
MACARA              LSH           24.02.08            13.03.08
Email 3:
Good morning. I have two 70,000mt/400,000 sq. mt. reefer shipments of Bananas in Feulucca (FCL) on 27-02-2008 from Montevideo to Southampton. If you can handle, please reply with price and cfr [cost and freight] for each option, and typical timescale for handling and dispatch. Thanks, Derek
Email 4:
Derek,              Please quote on 70,000mt/400,000 sq. mt. Reefer shipments from Guayaquil to Southampton on the following dates:-                     28-02-2008                     11-03-2008                     25-03-2008                     08-04-2008              Regards,              Ernesto
Email 5:
No email recieved

<Email 6>:
No email recieved",,msgbatch_01S5NonEWdot8Gq2QiGHgdty.jsonl,,False
102,"Email 1:
Dear Max,                    We are shipping 1,700MT of cocoa beans from Luanda to the Mediterranean. When can we ship? What is the best FOB port? If it is not Luanda, what is the C/O charge?                    Regards,                    Elena
Email 2:
Dear Max,                    We will ship 700MT of cocoa beans. When is the earliest shipping date?                    Regards,                    Elena

<Email 3>:
Dear Max,                    When is the earliest you can ship 700MT of cocoa beans?                    Regards,                    Elena

<Email 4>:
Dear Max,                    Can you deliver 700MT of cocoa beans to us tomorrow?                    Regards,                    Elena

<Email 5>:
Dear Max,                    When is the earliest date you can deliver 700MT of cocoa beans?                    Regards,                    Elena

<Email 6>:
Dear Max,                    Can you give us 700MT of cocoa beans by the end of the week?                    Regards,                    Elena",,msgbatch_01S5NonEWdot8Gq2QiGHgdty.jsonl,,False
103,"Email 1:
Hi Ms. Young,                    We plan to move 3k MT of paper pulp from Colombo to Port Klang, with a delivery window of 25 May to 10 June. Could you please provide a freight indication, and can you give a draft range requirement?                    Many thanks,                    Rita
Email 2:
Dear Mr. Jayasinghe,                It was great to hear that you enjoyed our factory in Berlin. We will continue the relations and provide the best services. Also, we are quite proud that our machinery provides high quality products. We are excited for the future and would be happy to see you again.                Best regards,                Jocelyn

A booking reference number is a unique number that is given to a customer when they make a booking for a product or service. The number is used to identify the customer's booking and to keep track of it. The number may be given to the customer in a confirmation email or letter, or it may be printed on the customer's booking form. The booking reference number is typically used to look up the customer's booking when they call or email to ask a question or make a change to their booking.
Email 3:
Hello,                We are interested in your SPANX technology. We are currently working on a project that involves a design which includes SPANX as a major component. We are particularly interested in the technical aspects of your product, such as how it is implemented, its performance, and any potential benefits or drawbacks that we should be aware of. Could you please provide us with some detailed information about these aspects?                Thank you very much,                Sincerely,                Reuben
Email 4:
Hey Megan, we have been approached by a client in Mumbai to supply our range of medium density fiberboards (MDF). Our standard shipping route for this product is by container vessel from Port Klang to Mumbai. Could you please provide me with an indicative rate based on a 20-foot container shipment of MDF? My client is keen to receive a response from you soon, so we can make a firm offer. Thanks so much for your help!            Best regards,            Kishor",,msgbatch_01S5NonEWdot8Gq2QiGHgdty.jsonl,,False
104,"Email 1:
Dear Tina,                    We need to fix a shipment of soybean oil from Olinda port to Pensacola. What will be your estimate rate for a 30-day cargo shipment?                    Thanks in advance.                    Best regards,                    Brenda
Email 2:
From: tina
To: brenda
Date: Fri, 21 Oct 2011 10:26:15 +0800
Subject: Re: Inquiry for freight rate

Dear Brenda,
Thanks for your email. If you could provide more information, I will provide a firm rate, like vessel size, ETA and other shipping terms. Please see my contact details below.

Looking forward to your reply.
Regards,
Tina

From: brenda
To: tina
Date: Fri, 21 Oct 2011 14:11:37 +0800
Subject: Re: Inquiry for freight rate

Dear Tina,
Thank you very much for your reply. We would like to ship a bulk cargo of soybean oil by ship. The ETA is flexible, but will be earliest on the 2nd November. Would you please provide a firm freight rate based on",,msgbatch_01S5NonEWdot8Gq2QiGHgdty.jsonl,,False
105,"Email 1:
Hi Ms. Petersen,                    It looks like there's a small window at the end of June for a 26,500MT shipment of dried fish meal from Ulsan to Beira. Would you like to discuss?                    Cheers,                    Susan
Email 2:
Hi Susan,                       Sounds good to me. I need to make a few calls to make sure we're on the same page. Would a call or zoom meeting be better?                       Thank you.                   Maua

<Email 3>:
Hi Maua,                   Thanks for your prompt reply! It looks like Friday at 9AM US Pacific time would work for you and your colleagues. Can you confirm?                   Here's the call-in information for those who don't have a Zoom account:                   Zoom Link:  https://zoom.us/j/95414780315                   Zoom Meeting ID: 954 1478 0315                   Zoom Passcode: 538332                     Thanks again,                  Susan

<Email 4>:
Hi Susan,                    That will work for us. I've confirmed availability with the partners, but if there's any change I will get in touch",,msgbatch_01S5NonEWdot8Gq2QiGHgdty.jsonl,,False
106,"Email 1:
Dear Mrs. Scott,                    We have a 5,000MT shipment of waste plastic film from Fuzhou to Tianjin that will be finished by July 28. What is the best lead time you can offer, and will you be able to cover our last two shipments for $2,500?                    Regards,                    Annabelle
Email 2:
Dear Ms. Annabelle,                    Hello. Thank you for your e-mail. I have several storage tanks and packing equipment available and I will be able to accept a 5,000MT shipment of waste plastic film starting July 28. As for the lead time, it will take me about four days to finish the tanking of the plastic film. I can do all the loading, stuffing and lashing and you will be responsible for the fixing and sealing of the hatch. Will the cargo be using hatch cover or will it be double-containerized? Please advise, so I can make the necessary arrangements for the storage. Will you be able to cover the last two shipments for $2,500? We could not accept this kind of condition because the terminal handling fees and port storage costs are already included in the quoted price. I think the best arrangement we could do is to have a rate adjustment
Email 3:
Dear Ms. Scarlett,        It's Scarlett again. Sorry for the late reply. Our cargo will be using hatch cover. The cargo for the past three shipments will arrive in Tianjin tomorrow. We expect the same quality as before. Please have the cargo loaded as soon as possible and arrange for delivery to our designated terminal before August 15. If everything goes as expected, we will make arrangements for the second shipment. Best regards,        Scarlett

<Email 4>:
 Dear Ms. Scarlett,        Thank you for your e-mail. Our storage tanks are now available for your cargo. We will need a 10-ton forklift for loading and your cargo will need to use the hatch cover. We do not have much free space at the moment because we have some building works here. There is only a bit of room for our trucks to maneuver around the storage tanks. I will email
Email 4:
Dear Ms. Scarlett,        Thank you for your e-mail. Our storage tanks are now available for your cargo. We will need a 10-ton forklift for loading and your cargo will need to use the hatch cover. We do not have much free space at the moment because we have some building works here. There is only a bit of room for our trucks to maneuver around the storage tanks. I will email

<Email 4>:
  10 tons of cargo were loaded yesterday, but we still have some cargo remaining. Please advise the last day we will need to load this cargo to our storage tanks. We expect the cargo to be in good condition and hope that the waiting time at the terminal will not affect your schedule. Please be advised that the available forklifts can only lift a maximum of 10 tons at a time.   Regards,   Scarlett

<Email 5>:
 Dear Scarlett,        The cargo was loaded yesterday, and I will make arrangements for the delivery of the cargo to the port as soon as possible. We have some pending works in the area that may cause traffic congestion, but we hope this will not delay the delivery of the cargo to the port. We have a team that will be stationed at the port for the smooth delivery of the cargo. However, since we have some pending works in
Email 5:
Dear Scarlett,        The cargo was loaded yesterday, and I will make arrangements for the delivery of the cargo to the port as soon as possible. We have some pending works in the area that may cause traffic congestion, but we hope this will not delay the delivery of the cargo to the port. We have a team that will be stationed at the port for the smooth delivery of the cargo. However, since we have some pending works in

<Email 5>:
   Dear Scarlett,    The cargo was loaded yesterday, and I will make arrangements for the delivery of the cargo to the port as soon as possible. We have some pending works in the area that may cause traffic congestion, but we hope this will not delay the delivery of the cargo to the port. We have a team that will be stationed at the port for the smooth delivery of the cargo. However, since we have some pending works in

<Email 6>:
 Dear Ms. Scarlett,        Please be advised that the cargo was delivered at 10 a.m. this morning. Our team will keep track of the cargo at all times. We will also keep you updated about the cargo's movement in case we need to deliver the cargo before the schedule. We look forward to doing business with you.   Regards,   Scarlett

<Email 7>:
 Dear Ms. Scarlett,",,msgbatch_01S5NonEWdot8Gq2QiGHgdty.jsonl,,False
