Country,LOCODE,Name,NameWithoutDiacritics,Subdivision,Function,IATA,Latitude,Longitude
AE,AE AUH,Abu Dhabi,Abu Dhabi,AZ,1-345---,,24.466666666666665,54.36666666666667
AE,AE AMU,Abu Musa,Abu Musa,,1-------,,25.866666666666667,55.016666666666666
AE,AE ABU,Abu al Bukhoosh,Abu al Bukhoosh,,1-------,,25.483333333333334,53.13333333333333
AE,AE ARP,Ahmed Bin Rashid Port,Ahmed Bin Rashid Port,AZ,1-------,,25.533333333333335,55.55
AE,AE AJM,Ajman,Ajman,,1-3-----,QAJ,,
AE,AE FJR,Al Fujayrah,Al Fujayrah,FU,1--4----,,25.116666666666667,56.333333333333336
AE,AE JAZ,Al Jazeera Port,Al Jazeera Port,RK,1-------,,25.716666666666665,55.8
AE,AE AJP,Al Jeer Port,Al Jeer Port,RK,1-3-----,,26.033333333333335,56.05
AE,AE RUW,Ar Ruways,Ar Ruways,,1-------,,24.116666666666667,52.733333333333334
AE,AE DAS,Das Island,Das Island,,1-------,,,
AE,AE DBP,Dibba,Dibba,SH,1-3-----,,25.616666666666667,56.266666666666666
AE,AE DXB,Dubai,Dubai,DU,1-345---,,25.25,55.266666666666666
AE,AE END,Esnnad,Esnnad,AZ,1-------,,24.316666666666666,54.45
AE,AE FAT,Fateh Terminal,Fateh Terminal,,1-------,,,
AE,AE FRP,Free Port,Free Port,DU,1-------,,25.25,55.25
AE,AE HZP,Hamriya Free Zone Port,Hamriya Free Zone Port,DU,1-------,,25.3,55.31666666666667
AE,AE HSN,Hassyan,Hassyan,DU,1-3-----,,24.9,54.9
AE,AE HTL,Hulaylah Terminal,Hulaylah Terminal,,1-------,,25.983333333333334,55.93333333333333
AE,AE JEA,Jebel Ali,Jebel Ali,,1-------,,,
AE,AE QWE,Jebel Ali Free Zone,Jebel Ali Free Zone,DU,1-3-----,,25.0,55.05
AE,AE JED,Jebel Dhanna,Jebel Dhanna,,1-------,,,
AE,AE KLB,Kalba,Kalba,,1-3-----,,25.066666666666666,56.35
AE,AE KLF,Khor al Fakkan,Khor al Fakkan,,1-------,,25.333333333333332,56.35
AE,AE MKH,Mina Khalid,Mina Khalid,SH,1-3-----,,25.35,55.36666666666667
AE,AE KHL,Mina Khalifa/Abu Dhabi,Mina Khalifa/Abu Dhabi,,1-------,,24.833333333333332,54.666666666666664
AE,AE MRP,Mina Rashid Port,Mina Rashid Port,AZ,1-------,,25.266666666666666,55.28333333333333
AE,AE MSA,Mina Saqr,Mina Saqr,RK,1-------,,25.966666666666665,56.06666666666667
AE,AE MZD,Mina Zayed/Abu Dhabi,Mina Zayed/Abu Dhabi,AZ,1-------,,24.516666666666666,54.36666666666667
AE,AE RFA,Mirfa,Mirfa,AZ,1----6--,,25.466666666666665,53.483333333333334
AE,AE MUB,Mubarek Terminal,Mubarek Terminal,,1-------,,,
AE,AE MBS,Mubarras Island,Mubarras Island,,1-------,,24.583333333333332,53.31666666666667
AE,AE AMF,Musaffah,Musaffah,AZ,1-3-----,,24.383333333333333,54.483333333333334
AE,AE PRA,Port Rashid,Port Rashid,,1-------,,,
AE,AE RKP,Rak Khor Port,Rak Khor Port,RK,1-------,,25.816666666666666,55.95
AE,AE RMC,Rak Maritime City,Rak Maritime City,RK,1-------,,25.95,56.05
AE,AE RKT,Ras al Khaimah,Ras al Khaimah,,1--4----,,25.783333333333335,55.95
AE,AE RWP,Ruwais Port,Ruwais Port,AZ,1-------,,24.1,52.71666666666667
AE,AE SID,Sadiyat Island,Sadiyat Island,,1-------,,24.533333333333335,54.4
AE,AE SHJ,Sharjah,Sharjah,SH,1-34----,,25.35,55.38333333333333
AE,AE DUJ,The Palm Jumeirah,The Palm Jumeirah,DU,1-------,,,
AE,AE ULR,Umm Al Nar,Umm Al Nar,,1-------,,24.433333333333334,54.5
AE,AE QIW,Umm al Quwain,Umm al Quwain,,1--4----,,25.583333333333332,55.583333333333336
AE,AE YAS,Yas Island,Yas Island,AZ,1-------,,24.316666666666666,52.6
AE,AE ZUR,Zirku Island,Zirku Island,AZ,1-------,,24.883333333333333,53.06666666666667
AF,AF DHD,Dehdadi,Dehdadi,BAL,1----6--,,36.65,66.98333333333333
AF,AF QLT,Qalat,Qalat,,1-3-----,,32.1,66.88333333333334
AF,AF RKH,Torkham,Torkham,NAN,1-------,,34.88333333333333,71.91666666666667
AG,AG ANU,Antigua,Antigua,,1---5---,,,
AG,AG BBQ,Barbuda,Barbuda,,1-------,,,
AG,AG FAM,Falmouth,Falmouth,,1----6--,,17.016666666666666,-61.78333333333333
AG,AG PHM,Parham,Parham,,1----6--,,17.083333333333332,-61.75
AG,AG SJO,Saint John's,Saint John's,,1-------,,17.116666666666667,-61.85
AI,AI BLP,Blowing Point,Blowing Point,,1-------,,,
