,name,type
28,MS True,Oil/Chemical Tanker
33,SAtlantic,Bulk Carrier
44,Bfwelwater,Bulk Carrier
50,Nikiforos,Bulk Carrier
97,Icoa Uru,Bulk Carrier
108,Samba,Oil/Chemical Tanker
110,Horizon Theoni,Oil/Chemical Tanker
111,Horizon Athena,Oil/Chemical Tanker
115,Honesty,Oil/Chemical Tanker
119,Clarity,Oil/Chemical Tanker
122,Pico El Toro,Oil/Chemical Tanker
124,Caura,Oil/Chemical Tanker
150,Bluefin,Oil/Chemical Tanker
210,Ym Venu 8,Oil/Chemical Tanker
260,Cartagena Sun,Oil/Chemical Tanker
277,Pudu,Oil/Chemical Tanker
278,Dona Ana,Oil/Chemical Tanker
279,Spl Tarapaca,Bulk Carrier
280,Loreto,Bulk Carrier
282,Lingue,Bulk Carrier
283,Lama,Oil/Chemical Tanker
287,Tupungato,Bulk Carrier
294,Tatio,Bulk Carrier
296,Rauli N,Bulk Carrier
297,Roble N,Bulk Carrier
314,Antofagasta,Oil/Chemical Tanker
318,Almendro,Bulk Carrier
320,Corral,Bulk Carrier
324,Ultra Tronador,Bulk Carrier
333,Elena,Bulk Carrier
334,Spl Atacama,Bulk Carrier
444,Norsul Crateus,Bulk Carrier
448,Guanaco,Oil/Chemical Tanker
450,Castillo Plasencia,Oil/Chemical Tanker
460,Marcos Dias,Bulk Carrier
461,Sao Luiz,Bulk Carrier
470,Braztrans 1,Bulk Carrier
504,Bow Oceanic,Oil/Chemical Tanker
517,Callio,Bulk Carrier
545,Pio Grande,Bulk Carrier
573,Sao Jose,Bulk Carrier
604,Flumar Brasil,Oil/Chemical Tanker
616,Castillo De Herrera,Oil/Chemical Tanker
623,Castillo De Maceda,Oil/Chemical Tanker
732,Punta Medanos,Oil/Chemical Tanker
734,Punta Quilla,Oil/Chemical Tanker
735,Argenmar Austral,Bulk Carrier
745,Nany,Oil/Chemical Tanker
761,Punta Loyola,Oil/Chemical Tanker
775,MT Caleta Rosario,Oil/Chemical Tanker
834,Cassendra,Oil/Chemical Tanker
860,Limestone 2,Bulk Carrier
875,Faxon,Oil/Chemical Tanker
881,Sea Breeze,Bulk Carrier
883,Flora,Bulk Carrier
888,Diamond Sun,Bulk Carrier
889,Tessalina,Oil/Chemical Tanker
891,Teen,Bulk Carrier
892,Sattar,Bulk Carrier
893,Attar,Bulk Carrier
895,Zulal,Bulk Carrier
