model,dataset,vessel_precision,vessel_recall,vessel_f1,vessel_micro_precision,vessel_micro_recall,vessel_micro_f1,port_precision,port_recall,port_f1,port_micro_precision,port_micro_recall,port_micro_f1,commodity_precision,commodity_recall,commodity_f1,commodity_micro_precision,commodity_micro_recall,commodity_micro_f1,incoterm_precision,incoterm_recall,incoterm_f1,incoterm_micro_precision,incoterm_micro_recall,incoterm_micro_f1,overall_precision,overall_recall,overall_f1,overall_micro_precision,overall_micro_recall,overall_micro_f1,total_tp,total_fp,total_fn
gliner_finetuned_mlm,attr_prompting_claude,0.7228,0.7787,0.7391,0.7882,0.7787,0.7834,0.7492,0.8878,0.7776,0.6606,0.8878,0.7575,0.8177,0.9789,0.8636,0.6876,0.9789,0.8078,0.5402,0.6851,0.5817,0.5747,0.6851,0.6251,0.7075,0.8326,0.7405,0.6705,0.8437,0.7471,4193,2061,777
gliner_finetuned_mlm,attr_prompting_deepseek,0.7914,0.9389,0.8366,0.7254,0.9388,0.8184,0.8827,0.9855,0.9145,0.8118,0.9855,0.8903,0.9547,0.988,0.9654,0.9311,0.988,0.9587,0.7041,0.8046,0.7299,0.6765,0.8046,0.735,0.8332,0.9293,0.8616,0.7873,0.9405,0.8571,4691,1267,297
gliner_finetuned_mlm,attr_prompting_gemini,0.6138,0.78,0.6633,0.6325,0.778,0.6977,0.7161,0.9815,0.7964,0.5961,0.9815,0.7417,0.7969,0.955,0.8473,0.7329,0.955,0.8293,0.6177,0.869,0.688,0.5112,0.869,0.6437,0.6861,0.8964,0.7488,0.6065,0.9132,0.7289,4558,2957,433
gliner_finetuned_mlm,attr_prompting_gpt,0.6881,0.97,0.7721,0.5784,0.97,0.7247,0.8593,0.9895,0.9029,0.788,0.9905,0.8777,0.8987,0.985,0.9267,0.8433,0.985,0.9087,0.6195,0.712,0.6447,0.6577,0.7111,0.6834,0.7664,0.9141,0.8116,0.7216,0.9295,0.8125,4642,1791,352
gliner_finetuned_mlm,attr_prompting_mistral,0.6335,0.9302,0.7284,0.5852,0.9302,0.7184,0.9096,0.9939,0.9373,0.8526,0.9939,0.9178,0.9255,1.0,0.9498,0.8645,1.0,0.9273,0.6,0.7199,0.6353,0.6438,0.7206,0.68,0.7671,0.911,0.8127,0.7485,0.9278,0.8286,4587,1541,357
gliner_finetuned_mlm,bare_llama_3b_claude,0.8756,0.894,0.8809,0.3348,0.6142,0.4334,0.5778,0.8854,0.6587,0.3923,0.9745,0.5594,0.6103,0.8597,0.6764,0.4187,0.8951,0.5705,0.8281,0.8648,0.8378,0.2861,0.6566,0.3985,0.7229,0.876,0.7634,0.3907,0.9138,0.5473,2416,3768,228
gliner_finetuned_mlm,bare_llama_3b_deepseek,0.8686,0.8924,0.8751,0.3663,0.6054,0.4564,0.6104,0.9119,0.6911,0.4666,0.9416,0.624,0.6094,0.8954,0.6803,0.4169,0.8866,0.5671,0.8226,0.8642,0.833,0.2893,0.6444,0.3993,0.7278,0.891,0.7699,0.4385,0.8951,0.5887,2851,3650,334
gliner_finetuned_mlm,bare_llama_3b_gemini,0.8663,0.8854,0.8714,0.3165,0.5474,0.4011,0.5628,0.9229,0.6554,0.4146,0.9299,0.5735,0.5526,0.8643,0.6286,0.3875,0.8529,0.5329,0.8139,0.8523,0.8235,0.2518,0.5988,0.3545,0.6989,0.8812,0.7447,0.3947,0.875,0.544,2786,4273,398
gliner_finetuned_mlm,bare_llama_3b_gpt,0.8838,0.9088,0.8902,0.3504,0.6357,0.4518,0.5827,0.8979,0.6683,0.4306,0.9653,0.5955,0.594,0.8838,0.6686,0.4032,0.8995,0.5568,0.8436,0.8828,0.8538,0.3305,0.6667,0.4419,0.726,0.8933,0.7702,0.4143,0.9134,0.57,2646,3741,251
gliner_finetuned_mlm,bare_llama_3b_mistral,0.8861,0.9008,0.8902,0.3413,0.6121,0.4382,0.5919,0.9078,0.6738,0.4403,0.9482,0.6014,0.6037,0.8875,0.6725,0.404,0.8857,0.5549,0.8258,0.865,0.8352,0.268,0.6353,0.377,0.7269,0.8903,0.7679,0.4165,0.9008,0.5697,2705,3789,298
gliner_finetuned_mlm,bare_llama_8b_claude,0.8693,0.8882,0.8749,0.4037,0.5466,0.4644,0.5469,0.8944,0.634,0.372,0.9808,0.5394,0.6164,0.855,0.6801,0.4361,0.8928,0.586,0.7902,0.8359,0.8013,0.2412,0.6667,0.3542,0.7057,0.8684,0.7476,0.3787,0.9089,0.5347,2514,4124,252
gliner_finetuned_mlm,bare_llama_8b_deepseek,0.8222,0.845,0.8287,0.3919,0.4183,0.4047,0.5866,0.9352,0.6791,0.4386,0.9681,0.6037,0.6093,0.902,0.682,0.4162,0.9005,0.5693,0.7989,0.849,0.8105,0.2625,0.6684,0.377,0.7043,0.8828,0.7501,0.4192,0.8994,0.5719,3013,4174,337
gliner_finetuned_mlm,bare_llama_8b_gemini,0.8291,0.8561,0.8364,0.3458,0.4511,0.3915,0.5304,0.934,0.6304,0.3822,0.9484,0.5448,0.5623,0.8865,0.6423,0.3994,0.8786,0.5492,0.8037,0.8521,0.8152,0.2816,0.6507,0.3931,0.6814,0.8822,0.7311,0.379,0.8834,0.5304,2908,4765,384
gliner_finetuned_mlm,bare_llama_8b_gpt,0.8351,0.8596,0.8417,0.3846,0.4974,0.4338,0.5794,0.9156,0.6696,0.4299,0.9726,0.5963,0.6168,0.9077,0.692,0.4283,0.9172,0.5839,0.8268,0.8726,0.8382,0.2954,0.6995,0.4154,0.7145,0.8889,0.7604,0.4187,0.9117,0.5739,2828,3926,274
gliner_finetuned_mlm,bare_llama_8b_mistral,0.8415,0.8622,0.8474,0.3541,0.4596,0.4,0.5642,0.929,0.6575,0.4061,0.9716,0.5728,0.5978,0.8929,0.6704,0.4013,0.8973,0.5546,0.8095,0.8592,0.821,0.2716,0.6862,0.3892,0.7033,0.8858,0.7491,0.3944,0.9081,0.55,2817,4325,285
gliner_finetuned_mlm,fewshot_claude,0.939,0.998,0.9587,0.8943,0.998,0.9433,0.7733,0.986,0.8434,0.6842,0.986,0.8078,0.627,0.998,0.7273,0.4748,0.998,0.6435,0.3071,0.37,0.3259,0.5928,0.3662,0.4527,0.6616,0.838,0.7138,0.6452,0.8674,0.74,2166,1191,331
gliner_finetuned_mlm,fewshot_deepseek,0.891,1.0,0.9269,0.8174,1.0,0.8995,0.8993,0.999,0.9316,0.8264,0.999,0.9045,0.9577,1.0,0.9718,0.9221,1.0,0.9595,0.8498,0.9497,0.8813,0.8079,0.9496,0.873,0.8994,0.9872,0.9279,0.8384,0.9895,0.9077,2460,474,26
