model,dataset,vessel_accuracy,vessel_correct,vessel_total,port_accuracy,port_correct,port_total,commodity_accuracy,commodity_correct,commodity_total,incoterm_accuracy,incoterm_correct,incoterm_total,overall_accuracy,overall_correct,overall_total
gliner_base,attr_prompting_claude,0.8833,878,994,0.9115,906,994,0.9678,962,994,0.334,332,994,0.7741,3078,3976
gliner_base,attr_prompting_deepseek,0.982,980,998,0.9519,950,998,0.996,994,998,0.5972,596,998,0.8818,3520,3992
gliner_base,attr_prompting_gemini,0.9028,901,998,0.929,929,1000,0.969,969,1000,0.543,543,1000,0.8359,3342,3998
gliner_base,attr_prompting_gpt,0.988,988,1000,0.986,986,1000,0.992,992,1000,0.4925,491,997,0.8649,3457,3997
gliner_base,attr_prompting_mistral,0.9848,974,989,0.9869,976,989,1.0,989,989,0.6903,682,988,0.9155,3621,3955
gliner_base,bare_llama_3b_claude,0.9668,757,783,0.9627,954,991,0.8481,748,882,0.862,656,761,0.9116,3115,3417
gliner_base,bare_llama_3b_deepseek,0.9428,742,787,0.9577,952,994,0.8205,754,919,0.8431,645,765,0.8926,3093,3465
gliner_base,bare_llama_3b_gemini,0.9414,755,802,0.9317,927,995,0.8104,761,939,0.8329,633,760,0.8799,3076,3496
gliner_base,bare_llama_3b_gpt,0.9531,773,811,0.9629,961,998,0.8583,763,889,0.8517,649,762,0.9092,3146,3460
gliner_base,bare_llama_3b_mistral,0.9585,716,747,0.956,935,978,0.8406,754,897,0.8425,631,749,0.9006,3036,3371
gliner_base,bare_llama_8b_claude,0.9548,740,775,0.9617,955,993,0.8699,769,884,0.805,549,682,0.9037,3013,3334
gliner_base,bare_llama_8b_deepseek,0.9046,730,807,0.956,956,1000,0.8391,782,932,0.7773,541,696,0.876,3009,3435
gliner_base,bare_llama_8b_gemini,0.9071,742,818,0.924,912,987,0.8243,774,939,0.7651,544,711,0.8602,2972,3455
gliner_base,bare_llama_8b_gpt,0.9189,748,814,0.9549,952,997,0.865,788,911,0.8045,576,716,0.8912,3064,3438
gliner_base,bare_llama_8b_mistral,0.9354,695,743,0.952,933,980,0.8646,779,901,0.7755,525,677,0.8882,2932,3301
gliner_base,fewshot_claude,1.0,500,500,0.992,496,500,0.992,496,500,0.4257,212,498,0.8529,1704,1998
gliner_base,fewshot_deepseek,1.0,497,497,0.998,496,497,1.0,497,497,0.8813,438,497,0.9698,1928,1988
gliner_base,fewshot_gemini,0.9918,481,485,1.0,485,485,0.9876,479,485,0.4682,221,472,0.8646,1666,1927
gliner_base,fewshot_gpt,0.994,495,498,1.0,499,499,0.992,495,499,0.7016,301,429,0.9299,1790,1925
gliner_base,fewshot_mistral,0.996,492,494,1.0,494,494,0.998,493,494,0.6986,343,491,0.9235,1822,1973
gliner_base,zeroshot_claude,0.916,458,500,0.912,456,500,0.898,449,500,0.2902,74,255,0.8188,1437,1755
gliner_base,zeroshot_deepseek,0.998,497,498,0.998,497,498,1.0,498,498,0.6774,21,31,0.9921,1513,1525
gliner_base,zeroshot_gemini,0.964,428,444,0.9272,446,481,0.8067,388,481,0.7553,142,188,0.8808,1404,1594
gliner_base,zeroshot_gpt,0.996,495,497,0.9679,483,499,0.9659,482,499,0.7021,33,47,0.9682,1493,1542
gliner_base,zeroshot_mistral,0.9718,448,461,1.0,469,469,0.9829,461,469,0.5811,43,74,0.9647,1421,1473
gliner_base_entity_aware,attr_prompting_claude,0.9014,896,994,0.9296,924,994,0.9819,976,994,0.6449,641,994,0.8644,3437,3976
gliner_base_entity_aware,attr_prompting_deepseek,0.978,976,998,0.9749,973,998,0.996,994,998,0.7575,756,998,0.9266,3699,3992
gliner_base_entity_aware,attr_prompting_gemini,0.921,921,1000,0.951,951,1000,0.966,966,1000,0.793,793,1000,0.9077,3631,4000
gliner_base_entity_aware,attr_prompting_gpt,0.986,986,1000,0.988,988,1000,0.992,992,1000,0.671,671,1000,0.9093,3637,4000
gliner_base_entity_aware,attr_prompting_mistral,0.9879,977,989,0.9879,977,989,1.0,989,989,0.7088,701,989,0.9211,3644,3956
gliner_base_entity_aware,bare_llama_3b_claude,0.953,871,914,0.9596,951,991,0.8303,778,937,0.8869,831,937,0.9079,3431,3779
gliner_base_entity_aware,bare_llama_3b_deepseek,0.9338,861,922,0.9477,942,994,0.8039,791,984,0.8777,825,940,0.8904,3419,3840
gliner_base_entity_aware,bare_llama_3b_gemini,0.9351,865,925,0.9146,910,995,0.7896,777,984,0.8787,833,948,0.8788,3385,3852
gliner_base_entity_aware,bare_llama_3b_gpt,0.9439,891,944,0.9559,954,998,0.8359,805,963,0.886,855,965,0.9057,3505,3870
gliner_base_entity_aware,bare_llama_3b_mistral,0.9605,852,887,0.9468,926,978,0.8172,787,963,0.8758,811,926,0.8993,3376,3754
gliner_base_entity_aware,bare_llama_8b_claude,0.9299,862,927,0.9617,955,993,0.8479,797,940,0.8825,804,911,0.9064,3418,3771
gliner_base_entity_aware,bare_llama_8b_deepseek,0.8665,824,951,0.96,960,1000,0.8147,809,993,0.8599,798,928,0.8758,3391,3872
gliner_base_entity_aware,bare_llama_8b_gemini,0.883,830,940,0.926,914,987,0.799,783,980,0.8527,793,930,0.8653,3320,3837
gliner_base_entity_aware,bare_llama_8b_gpt,0.8857,837,945,0.9478,945,997,0.8397,817,973,0.8788,834,949,0.8885,3433,3864
gliner_base_entity_aware,bare_llama_8b_mistral,0.9092,831,914,0.9551,936,980,0.8449,817,967,0.8675,786,906,0.8946,3370,3767
gliner_base_entity_aware,fewshot_claude,1.0,500,500,0.996,498,500,0.992,496,500,0.3273,163,498,0.8293,1657,1998
gliner_base_entity_aware,fewshot_deepseek,1.0,497,497,0.998,496,497,1.0,497,497,0.9074,451,497,0.9764,1941,1988
gliner_base_entity_aware,fewshot_gemini,0.9753,473,485,1.0,485,485,0.9876,479,485,0.6417,308,480,0.9018,1745,1935
gliner_base_entity_aware,fewshot_gpt,0.994,496,499,1.0,499,499,0.98,489,499,0.6232,311,499,0.8993,1795,1996
gliner_base_entity_aware,fewshot_mistral,0.996,492,494,1.0,494,494,0.9919,490,494,0.6862,339,494,0.9185,1815,1976
gliner_base_entity_aware,zeroshot_claude,0.998,499,500,0.864,432,500,0.9,450,500,0.2874,73,254,0.829,1454,1754
gliner_base_entity_aware,zeroshot_deepseek,0.9478,472,498,0.998,497,498,1.0,498,498,0.9918,483,487,0.9844,1950,1981
gliner_base_entity_aware,zeroshot_gemini,0.9539,455,477,0.9044,435,481,0.8067,388,481,0.8657,245,283,0.8844,1523,1722
gliner_base_entity_aware,zeroshot_gpt,0.9579,478,499,0.9699,484,499,0.9339,466,499,0.979,467,477,0.96,1895,1974
gliner_base_entity_aware,zeroshot_mistral,0.765,358,468,1.0,469,469,0.9808,460,469,0.9279,425,458,0.9185,1712,1864
gliner_bge,attr_prompting_claude,0.8883,883,994,0.8018,797,994,0.832,827,994,0.2042,203,994,0.6816,2710,3976
gliner_bge,attr_prompting_deepseek,0.9819,978,996,0.9168,915,998,0.9499,948,998,0.515,514,998,0.8409,3355,3990
gliner_bge,attr_prompting_gemini,0.9117,909,997,0.764,764,1000,0.908,908,1000,0.44,440,1000,0.7558,3021,3997
gliner_bge,attr_prompting_gpt,0.98,980,1000,0.967,967,1000,0.947,947,1000,0.503,502,998,0.8494,3396,3998
gliner_bge,attr_prompting_mistral,0.9757,965,989,0.9767,966,989,0.9949,984,989,0.6285,621,988,0.8941,3536,3955
gliner_bge,bare_llama_3b_claude,0.9569,777,812,0.9475,939,991,0.804,722,898,0.8794,693,788,0.8974,3131,3489
gliner_bge,bare_llama_3b_deepseek,0.9304,762,819,0.9155,910,994,0.7758,730,941,0.8729,687,787,0.8724,3089,3541
gliner_bge,bare_llama_3b_gemini,0.9286,780,840,0.8894,885,995,0.7722,739,957,0.8663,706,815,0.8622,3110,3607
gliner_bge,bare_llama_3b_gpt,0.939,770,820,0.9429,941,998,0.8321,763,917,0.8739,700,801,0.8976,3174,3536
gliner_bge,bare_llama_3b_mistral,0.952,753,791,0.9284,908,978,0.7904,724,916,0.8734,683,782,0.8849,3068,3467
gliner_bge,bare_llama_8b_claude,0.9309,754,810,0.9496,943,993,0.8213,740,901,0.8351,618,740,0.887,3055,3444
gliner_bge,bare_llama_8b_deepseek,0.8715,712,817,0.931,931,1000,0.7879,743,943,0.8257,630,763,0.8561,3016,3523
gliner_bge,bare_llama_8b_gemini,0.8806,730,829,0.9017,890,987,0.7752,738,952,0.8097,634,783,0.8426,2992,3551
gliner_bge,bare_llama_8b_gpt,0.8983,733,816,0.9358,933,997,0.8287,774,934,0.8378,630,752,0.8774,3070,3499
gliner_bge,bare_llama_8b_mistral,0.9107,704,773,0.9347,916,980,0.8083,742,918,0.8309,624,751,0.8726,2986,3422
gliner_bge,fewshot_claude,0.996,498,500,0.972,486,500,0.95,475,500,0.182,91,500,0.775,1550,2000
gliner_bge,fewshot_deepseek,1.0,497,497,0.998,496,497,0.9799,487,497,0.6076,302,497,0.8964,1782,1988
gliner_bge,fewshot_gemini,0.9526,462,485,0.9918,481,485,0.9608,466,485,0.3714,179,482,0.8198,1588,1937
gliner_bge,fewshot_gpt,0.992,494,498,0.998,498,499,0.9679,483,499,0.5588,247,442,0.8885,1722,1938
gliner_bge,fewshot_mistral,0.996,492,494,1.0,494,494,0.9798,484,494,0.4085,201,492,0.8465,1671,1974
gliner_bge,zeroshot_claude,0.996,498,500,0.83,415,500,0.684,342,500,0.5678,243,428,0.777,1498,1928
gliner_bge,zeroshot_deepseek,0.99,493,498,0.9819,489,498,1.0,498,498,0.9057,96,106,0.985,1576,1600
gliner_bge,zeroshot_gemini,0.9612,421,438,0.8857,426,481,0.7422,357,481,0.8546,335,392,0.8588,1539,1792
gliner_bge,zeroshot_gpt,0.9717,480,494,0.9659,482,499,0.9138,456,499,0.8559,101,118,0.9435,1519,1610
gliner_bge,zeroshot_mistral,0.9668,437,452,1.0,469,469,0.9829,461,469,0.7662,118,154,0.9618,1485,1544
gliner_bge_entity_aware,attr_prompting_claude,0.8652,860,994,0.9296,924,994,0.9708,965,994,0.6831,679,994,0.8622,3428,3976
gliner_bge_entity_aware,attr_prompting_deepseek,0.9709,969,998,0.9749,973,998,0.98,978,998,0.7966,795,998,0.9306,3715,3992
gliner_bge_entity_aware,attr_prompting_gemini,0.814,814,1000,0.924,924,1000,0.933,933,1000,0.83,830,1000,0.8752,3501,4000
gliner_bge_entity_aware,attr_prompting_gpt,0.974,974,1000,0.984,984,1000,0.974,974,1000,0.697,697,1000,0.9073,3629,4000
gliner_bge_entity_aware,attr_prompting_mistral,0.9555,945,989,0.9889,978,989,1.0,989,989,0.7348,726,988,0.9198,3638,3955
gliner_bge_entity_aware,bare_llama_3b_claude,0.9481,895,944,0.9526,944,991,0.7891,741,939,0.9087,826,909,0.9003,3406,3783
gliner_bge_entity_aware,bare_llama_3b_deepseek,0.9261,890,961,0.9175,912,994,0.7632,754,988,0.8967,825,920,0.8752,3381,3863
gliner_bge_entity_aware,bare_llama_3b_gemini,0.9259,887,958,0.8874,883,995,0.7546,744,986,0.8979,827,921,0.8655,3341,3860
gliner_bge_entity_aware,bare_llama_3b_gpt,0.9401,910,968,0.9439,942,998,0.8037,774,963,0.9098,847,931,0.8997,3473,3860
gliner_bge_entity_aware,bare_llama_3b_mistral,0.9485,884,932,0.9305,910,978,0.7645,737,964,0.8966,815,909,0.8845,3346,3783
gliner_bge_entity_aware,bare_llama_8b_claude,0.9167,869,948,0.9547,948,993,0.8102,760,938,0.8954,796,889,0.8952,3373,3768
gliner_bge_entity_aware,bare_llama_8b_deepseek,0.86,829,964,0.941,941,1000,0.7723,763,988,0.8847,806,911,0.8644,3339,3863
gliner_bge_entity_aware,bare_llama_8b_gemini,0.8706,821,943,0.9037,892,987,0.7602,742,976,0.872,797,914,0.8513,3252,3820
gliner_bge_entity_aware,bare_llama_8b_gpt,0.8855,843,952,0.9378,935,997,0.807,782,969,0.8973,830,925,0.8821,3390,3843
gliner_bge_entity_aware,bare_llama_8b_mistral,0.9034,842,932,0.9418,923,980,0.7927,761,960,0.892,801,898,0.8825,3327,3770
gliner_bge_entity_aware,fewshot_claude,0.998,499,500,0.996,498,500,0.988,494,500,0.3768,188,499,0.8399,1679,1999
gliner_bge_entity_aware,fewshot_deepseek,1.0,497,497,0.998,496,497,0.998,496,497,0.9437,469,497,0.9849,1958,1988
gliner_bge_entity_aware,fewshot_gemini,0.9505,461,485,1.0,485,485,0.9608,466,485,0.7176,343,478,0.9079,1755,1933
gliner_bge_entity_aware,fewshot_gpt,0.992,495,499,1.0,499,499,0.9739,486,499,0.7101,338,476,0.9214,1818,1973
gliner_bge_entity_aware,fewshot_mistral,0.9919,490,494,1.0,494,494,0.9858,487,494,0.8016,396,494,0.9448,1867,1976
gliner_bge_entity_aware,zeroshot_claude,0.986,493,500,0.84,420,500,0.888,444,500,0.4703,166,353,0.8219,1523,1853
gliner_bge_entity_aware,zeroshot_deepseek,0.9398,468,498,0.9819,489,498,1.0,498,498,0.9793,472,482,0.9752,1927,1976
gliner_bge_entity_aware,zeroshot_gemini,0.9241,426,461,0.9189,442,481,0.79,380,481,0.845,278,329,0.871,1526,1752
gliner_bge_entity_aware,zeroshot_gpt,0.9359,467,499,0.9699,484,499,0.9178,458,499,0.9671,353,365,0.9463,1762,1862
gliner_bge_entity_aware,zeroshot_mistral,0.7846,368,469,1.0,469,469,0.9808,460,469,0.9103,355,390,0.9193,1652,1797
gliner_finetued_sbert,attr_prompting_claude,0.8652,860,994,0.9316,926,994,0.9789,973,994,0.6509,647,994,0.8566,3406,3976
gliner_finetued_sbert,attr_prompting_deepseek,0.9739,971,997,0.977,975,998,0.993,991,998,0.7866,785,998,0.9326,3722,3991
gliner_finetued_sbert,attr_prompting_gemini,0.848,848,1000,0.938,938,1000,0.954,954,1000,0.829,829,1000,0.8922,3569,4000
gliner_finetued_sbert,attr_prompting_gpt,0.978,978,1000,0.984,984,1000,0.984,984,1000,0.672,672,1000,0.9045,3618,4000
gliner_finetued_sbert,attr_prompting_mistral,0.9717,961,989,0.9889,978,989,1.0,989,989,0.7298,721,988,0.9226,3649,3955
gliner_finetued_sbert,bare_llama_3b_claude,0.9511,875,920,0.9506,942,991,0.8145,764,938,0.9065,824,909,0.9061,3405,3758
gliner_finetued_sbert,bare_llama_3b_deepseek,0.9253,867,937,0.9235,918,994,0.7785,766,984,0.9005,833,925,0.8812,3384,3840
gliner_finetued_sbert,bare_llama_3b_gemini,0.9241,864,935,0.8915,887,995,0.7742,761,983,0.8984,831,925,0.871,3343,3838
gliner_finetued_sbert,bare_llama_3b_gpt,0.9421,895,950,0.9459,944,998,0.8215,787,958,0.8999,845,939,0.9027,3471,3845
gliner_finetued_sbert,bare_llama_3b_mistral,0.9477,852,899,0.9335,913,978,0.7844,753,960,0.9001,811,901,0.8906,3329,3738
gliner_finetued_sbert,bare_llama_8b_claude,0.9175,845,921,0.9496,943,993,0.8239,772,937,0.89,785,882,0.8961,3345,3733
gliner_finetued_sbert,bare_llama_8b_deepseek,0.8617,810,940,0.935,935,1000,0.7869,779,990,0.8778,790,900,0.8653,3314,3830
gliner_finetued_sbert,bare_llama_8b_gemini,0.8694,799,919,0.9027,891,987,0.7824,766,979,0.8676,793,914,0.8552,3249,3799
gliner_finetued_sbert,bare_llama_8b_gpt,0.887,824,929,0.9338,931,997,0.8247,800,970,0.892,826,926,0.8846,3381,3822
gliner_finetued_sbert,bare_llama_8b_mistral,0.8993,813,904,0.9388,920,980,0.8133,784,964,0.8829,784,888,0.8836,3301,3736
gliner_finetued_sbert,fewshot_claude,1.0,500,500,0.996,498,500,0.972,486,500,0.3507,175,499,0.8299,1659,1999
gliner_finetued_sbert,fewshot_deepseek,1.0,497,497,0.998,496,497,0.998,496,497,0.9215,458,497,0.9794,1947,1988
gliner_finetued_sbert,fewshot_gemini,0.967,469,485,1.0,485,485,0.9711,471,485,0.7626,363,476,0.9259,1788,1931
gliner_finetued_sbert,fewshot_gpt,0.992,495,499,1.0,499,499,0.978,488,499,0.6524,304,466,0.9098,1786,1963
gliner_finetued_sbert,fewshot_mistral,0.9919,490,494,1.0,494,494,0.9919,490,494,0.7247,358,494,0.9271,1832,1976
gliner_finetued_sbert,zeroshot_claude,0.976,488,500,0.828,414,500,0.902,451,500,0.3051,83,272,0.8104,1436,1772
gliner_finetued_sbert,zeroshot_deepseek,0.9458,471,498,0.9819,489,498,1.0,498,498,0.9715,341,351,0.9751,1799,1845
gliner_finetued_sbert,zeroshot_gemini,0.8967,408,455,0.896,431,481,0.79,380,481,0.8442,233,276,0.8576,1452,1693
gliner_finetued_sbert,zeroshot_gpt,0.9539,476,499,0.9699,484,499,0.9178,458,499,0.9542,250,262,0.9483,1668,1759
gliner_finetued_sbert,zeroshot_mistral,0.8337,391,469,1.0,469,469,0.9829,461,469,0.8885,271,305,0.9299,1592,1712
gliner_finetuned,attr_prompting_claude,0.8823,877,994,0.9256,920,994,0.9819,976,994,0.6871,683,994,0.8692,3456,3976
gliner_finetuned,attr_prompting_deepseek,0.9739,972,998,0.976,974,998,0.998,996,998,0.7916,790,998,0.9349,3732,3992
gliner_finetuned,attr_prompting_gemini,0.894,894,1000,0.963,963,1000,0.965,965,1000,0.829,829,1000,0.9127,3651,4000
gliner_finetuned,attr_prompting_gpt,0.987,987,1000,0.988,988,1000,0.992,992,1000,0.692,692,1000,0.9147,3659,4000
gliner_finetuned,attr_prompting_mistral,0.9858,975,989,0.9869,976,989,1.0,989,989,0.7513,743,989,0.931,3683,3956
gliner_finetuned,bare_llama_3b_claude,0.9525,863,906,0.9617,953,991,0.8284,777,938,0.893,826,925,0.9093,3419,3760
gliner_finetuned,bare_llama_3b_deepseek,0.9317,846,908,0.9527,947,994,0.8051,793,985,0.8833,825,934,0.8927,3411,3821
gliner_finetuned,bare_llama_3b_gemini,0.9335,842,902,0.9206,916,995,0.7931,782,986,0.8853,826,933,0.8821,3366,3816
gliner_finetuned,bare_llama_3b_gpt,0.9453,882,933,0.9589,957,998,0.8337,802,962,0.894,860,962,0.9082,3501,3855
gliner_finetuned,bare_llama_3b_mistral,0.9602,844,879,0.9509,930,978,0.8191,788,962,0.884,808,914,0.9028,3370,3733
gliner_finetuned,bare_llama_8b_claude,0.9306,858,922,0.9617,955,993,0.8511,800,940,0.8904,804,903,0.9093,3417,3758
gliner_finetuned,bare_llama_8b_deepseek,0.8706,814,935,0.957,957,1000,0.8131,805,990,0.8728,803,920,0.8788,3379,3845
gliner_finetuned,bare_llama_8b_gemini,0.882,822,932,0.9281,916,987,0.8006,787,983,0.8612,782,908,0.868,3307,3810
gliner_finetuned,bare_llama_8b_gpt,0.8866,829,935,0.9458,943,997,0.8368,815,974,0.8888,831,935,0.8899,3418,3841
gliner_finetuned,bare_llama_8b_mistral,0.91,819,900,0.9531,934,980,0.8446,815,965,0.8754,780,891,0.8961,3348,3736
gliner_finetuned,fewshot_claude,1.0,500,500,0.992,496,500,0.986,493,500,0.3755,187,498,0.8388,1676,1998
gliner_finetuned,fewshot_deepseek,1.0,497,497,0.998,496,497,1.0,497,497,0.9376,466,497,0.9839,1956,1988
gliner_finetuned,fewshot_gemini,0.9753,473,485,1.0,485,485,0.9876,479,485,0.7375,354,480,0.9256,1791,1935
gliner_finetuned,fewshot_gpt,0.994,496,499,1.0,499,499,0.982,490,499,0.6934,346,499,0.9173,1831,1996
gliner_finetuned,fewshot_mistral,0.9919,490,494,1.0,494,494,0.9939,491,494,0.7874,389,494,0.9433,1864,1976
gliner_finetuned,zeroshot_claude,0.992,496,500,0.862,431,500,0.904,452,500,0.1594,33,207,0.8272,1412,1707
gliner_finetuned,zeroshot_deepseek,0.9498,473,498,0.998,497,498,1.0,498,498,0.9916,472,476,0.9848,1940,1970
gliner_finetuned,zeroshot_gemini,0.9254,434,469,0.9085,437,481,0.8067,388,481,0.8423,187,222,0.8748,1446,1653
gliner_finetuned,zeroshot_gpt,0.9559,477,499,0.9699,484,499,0.9459,472,499,0.9801,444,453,0.9626,1877,1950
gliner_finetuned,zeroshot_mistral,0.7735,362,468,1.0,469,469,0.9829,461,469,0.9248,406,439,0.9203,1698,1845
gliner_finetuned_bge,attr_prompting_claude,0.8732,868,994,0.9336,928,994,0.9688,963,994,0.6801,676,994,0.8639,3435,3976
gliner_finetuned_bge,attr_prompting_deepseek,0.9779,975,997,0.9729,971,998,0.981,979,998,0.8086,807,998,0.9351,3732,3991
gliner_finetuned_bge,attr_prompting_gemini,0.851,851,1000,0.919,919,1000,0.936,936,1000,0.839,839,1000,0.8862,3545,4000
gliner_finetuned_bge,attr_prompting_gpt,0.98,980,1000,0.982,982,1000,0.974,974,1000,0.707,707,1000,0.9107,3643,4000
gliner_finetuned_bge,attr_prompting_mistral,0.9646,954,989,0.9879,977,989,1.0,989,989,0.7551,746,988,0.9269,3666,3955
gliner_finetuned_bge,bare_llama_3b_claude,0.9507,887,933,0.9516,943,991,0.8051,752,934,0.9222,830,900,0.9079,3412,3758
gliner_finetuned_bge,bare_llama_3b_deepseek,0.9263,880,950,0.9215,916,994,0.7772,764,983,0.9129,838,918,0.8837,3398,3845
gliner_finetuned_bge,bare_llama_3b_gemini,0.9258,874,944,0.8894,885,995,0.767,754,983,0.9101,830,912,0.8719,3343,3834
gliner_finetuned_bge,bare_llama_3b_gpt,0.9417,904,960,0.9439,942,998,0.8182,783,957,0.9191,852,927,0.906,3481,3842
gliner_finetuned_bge,bare_llama_3b_mistral,0.9502,877,923,0.9305,910,978,0.7827,749,957,0.9124,823,902,0.8934,3359,3760
gliner_finetuned_bge,bare_llama_8b_claude,0.9209,862,936,0.9527,946,993,0.8158,762,934,0.9006,788,875,0.8983,3358,3738
gliner_finetuned_bge,bare_llama_8b_deepseek,0.8628,824,955,0.939,939,1000,0.7829,768,981,0.8899,800,899,0.8686,3331,3835
gliner_finetuned_bge,bare_llama_8b_gemini,0.8766,817,932,0.9027,891,987,0.7749,754,973,0.874,791,905,0.8567,3253,3797
gliner_finetuned_bge,bare_llama_8b_gpt,0.8875,836,942,0.9388,936,997,0.8205,791,964,0.9054,823,909,0.8882,3386,3812
gliner_finetuned_bge,bare_llama_8b_mistral,0.9064,833,919,0.9398,921,980,0.8069,769,953,0.8999,800,889,0.8883,3323,3741
gliner_finetuned_bge,fewshot_claude,0.998,499,500,0.996,498,500,0.97,485,500,0.4,200,500,0.841,1682,2000
gliner_finetuned_bge,fewshot_deepseek,1.0,497,497,0.998,496,497,0.998,496,497,0.9577,476,497,0.9884,1965,1988
gliner_finetuned_bge,fewshot_gemini,0.9711,471,485,1.0,485,485,0.9546,463,485,0.7803,373,478,0.9271,1792,1933
gliner_finetuned_bge,fewshot_gpt,0.992,495,499,1.0,499,499,0.976,487,499,0.7442,352,473,0.9305,1833,1970
gliner_finetuned_bge,fewshot_mistral,0.996,492,494,1.0,494,494,0.9858,487,494,0.832,411,494,0.9534,1884,1976
gliner_finetuned_bge,zeroshot_claude,0.996,498,500,0.85,425,500,0.908,454,500,0.3285,91,277,0.8261,1468,1777
gliner_finetuned_bge,zeroshot_deepseek,0.9438,470,498,0.9819,489,498,1.0,498,498,0.9761,408,418,0.9754,1865,1912
gliner_finetuned_bge,zeroshot_gemini,0.9597,429,447,0.9148,440,481,0.79,380,481,0.8374,242,289,0.8781,1491,1698
gliner_finetuned_bge,zeroshot_gpt,0.9399,469,499,0.9699,484,499,0.9198,459,499,0.9634,316,328,0.9468,1728,1825
gliner_finetuned_bge,zeroshot_mistral,0.8081,379,469,1.0,469,469,0.9829,461,469,0.903,326,361,0.9248,1635,1768
gliner_finetuned_bge_email,attr_prompting_claude,0.9688,963,994,0.9276,922,994,0.9799,974,994,0.9286,923,994,0.9512,3782,3976
gliner_finetuned_bge_email,attr_prompting_deepseek,0.997,994,997,0.9629,961,998,0.997,995,998,0.9629,961,998,0.98,3911,3991
gliner_finetuned_bge_email,attr_prompting_gemini,0.976,976,1000,0.947,947,1000,0.964,964,1000,0.982,982,1000,0.9673,3869,4000
gliner_finetuned_bge_email,attr_prompting_gpt,0.985,985,1000,0.985,985,1000,0.991,991,1000,0.847,847,1000,0.952,3808,4000
gliner_finetuned_bge_email,attr_prompting_mistral,0.9818,971,989,0.9869,976,989,1.0,989,989,0.8918,882,989,0.9651,3818,3956
gliner_finetuned_bge_email,bare_llama_3b_claude,0.9536,843,884,0.9082,900,991,0.8424,775,920,0.9617,804,836,0.9149,3322,3631
gliner_finetuned_bge_email,bare_llama_3b_deepseek,0.9281,826,890,0.829,824,994,0.8004,770,962,0.9497,793,835,0.8729,3213,3681
gliner_finetuned_bge_email,bare_llama_3b_gemini,0.9258,823,889,0.8271,823,995,0.7942,772,972,0.934,793,849,0.8667,3211,3705
gliner_finetuned_bge_email,bare_llama_3b_gpt,0.9385,839,894,0.8798,878,998,0.8479,797,940,0.9469,820,866,0.9016,3334,3698
gliner_finetuned_bge_email,bare_llama_3b_mistral,0.9453,813,860,0.8599,841,978,0.8146,769,944,0.9541,789,827,0.89,3212,3609
gliner_finetuned_bge_email,bare_llama_8b_claude,0.9334,813,871,0.9124,906,993,0.8444,776,919,0.9486,775,817,0.9083,3270,3600
gliner_finetuned_bge_email,bare_llama_8b_deepseek,0.8763,786,897,0.829,829,1000,0.8039,775,964,0.9306,791,850,0.8572,3181,3711
gliner_finetuned_bge_email,bare_llama_8b_gemini,0.8823,772,875,0.8257,815,987,0.7944,765,963,0.9208,779,846,0.8529,3131,3671
gliner_finetuned_bge_email,bare_llama_8b_gpt,0.9016,806,894,0.8536,851,997,0.8393,794,946,0.9413,818,869,0.8821,3269,3706
gliner_finetuned_bge_email,bare_llama_8b_mistral,0.9173,788,859,0.85,833,980,0.8381,787,939,0.9374,779,831,0.8831,3187,3609
gliner_finetuned_bge_email,fewshot_claude,0.994,497,500,0.994,497,500,0.982,491,500,0.8517,425,499,0.9555,1910,1999
gliner_finetuned_bge_email,fewshot_deepseek,1.0,497,497,0.996,495,497,0.998,496,497,0.996,494,496,0.9975,1982,1987
gliner_finetuned_bge_email,fewshot_gemini,0.9814,476,485,0.9897,480,485,0.9814,476,485,0.9237,436,472,0.9694,1868,1927
gliner_finetuned_bge_email,fewshot_gpt,0.992,495,499,0.998,498,499,0.988,493,499,0.8522,398,467,0.9593,1884,1964
gliner_finetuned_bge_email,fewshot_mistral,0.9939,491,494,0.998,493,494,0.9939,491,494,0.9512,468,492,0.9843,1943,1974
gliner_finetuned_bge_email,zeroshot_claude,0.962,481,500,0.876,438,500,0.924,462,500,0.6598,258,391,0.8667,1639,1891
gliner_finetuned_bge_email,zeroshot_deepseek,0.99,493,498,0.9819,489,498,1.0,498,498,0.9796,479,489,0.9879,1959,1983
gliner_finetuned_bge_email,zeroshot_gemini,0.9548,422,442,0.8628,415,481,0.8025,386,481,0.9395,373,397,0.8862,1596,1801
