chain_id,model,method,num_emails,sentiment_neg,sentiment_neu,sentiment_pos
0,Mistral,Attr Prompting,8,0.0,0.10810494422912598,0.891895055770874
1,Mistral,Attr Prompting,5,0.0,0.07287070155143738,0.9271292984485626
2,Mistral,Attr Prompting,6,0.14846820533275606,0.7,0.15153179466724395
3,Mistral,Attr Prompting,4,0.14666890501976015,0.7,0.15333109498023986
4,Mistral,Attr Prompting,9,0.0,0.19777370989322662,0.8022262901067734
5,Mistral,Attr Prompting,10,0.08338175117969515,0.2833817511796951,0.6332364976406097
6,Mistral,Attr Prompting,7,0.04367035031318667,0.24367035031318662,0.7126592993736267
7,Mistral,Attr Prompting,5,0.0,0.05738711357116699,0.942612886428833
8,Mistral,Attr Prompting,6,0.031230831146240257,0.2312308311462402,0.7375383377075195
9,Mistral,Attr Prompting,8,0.0,0.037013083696365356,0.9629869163036346
10,Mistral,Attr Prompting,8,0.0,0.013567060232162476,0.9864329397678375
11,Mistral,Attr Prompting,7,0.06909353435039522,0.2690935343503952,0.6618129312992096
12,Mistral,Attr Prompting,10,0.0,0.10950803756713867,0.8904919624328613
13,Mistral,Attr Prompting,3,0.12374778985977175,0.4237477898597717,0.45250442028045657
14,Mistral,Attr Prompting,8,0.0,0.004844099283218384,0.9951559007167816
15,Mistral,Attr Prompting,8,0.07335280776023867,0.2733528077602386,0.6532943844795227
16,Mistral,Attr Prompting,5,0.11412624418735506,0.414126244187355,0.47174751162528994
17,Mistral,Attr Prompting,10,0.07474712431430819,0.27474712431430814,0.6505057513713837
18,Mistral,Attr Prompting,6,0.0,0.1837327778339386,0.8162672221660614
19,Mistral,Attr Prompting,8,0.0,0.08057242631912231,0.9194275736808777
20,Mistral,Attr Prompting,6,0.09468013942241671,0.29468013942241666,0.6106397211551666
21,Mistral,Attr Prompting,10,0.03755267858505251,0.23755267858505247,0.724894642829895
22,Mistral,Attr Prompting,9,0.0,0.008941024541854858,0.9910589754581451
23,Mistral,Attr Prompting,9,0.0,0.08430454134941101,0.915695458650589
24,Mistral,Attr Prompting,6,0.0,0.06145834922790527,0.9385416507720947
25,Mistral,Attr Prompting,7,0.0,0.05357721447944641,0.9464227855205536
26,Mistral,Attr Prompting,5,0.021693968772888206,0.22169396877288816,0.7566120624542236
27,Mistral,Attr Prompting,9,0.0,0.004585713148117065,0.9954142868518829
28,Mistral,Attr Prompting,8,0.0,0.03822129964828491,0.9617787003517151
29,Mistral,Attr Prompting,3,0.0,0.1480621099472046,0.8519378900527954
30,Mistral,Attr Prompting,4,0.0,0.010403066873550415,0.9895969331264496
31,Mistral,Attr Prompting,7,0.0,0.021390557289123535,0.9786094427108765
32,Mistral,Attr Prompting,5,0.057012954354286216,0.25701295435428617,0.6859740912914276
33,Mistral,Attr Prompting,8,0.12710718214511874,0.7,0.17289281785488128
34,Mistral,Attr Prompting,6,0.0,0.025172531604766846,0.9748274683952332
35,Mistral,Attr Prompting,9,0.0,0.11515966057777405,0.884840339422226
36,Mistral,Attr Prompting,8,0.0,0.07079809904098511,0.9292019009590149
37,Mistral,Attr Prompting,3,0.13619633913040163,0.7,0.16380366086959838
38,Mistral,Attr Prompting,9,0.0,0.10897967219352722,0.8910203278064728
39,Mistral,Attr Prompting,4,0.025551655888557456,0.2255516558885574,0.7488966882228851
40,Mistral,Attr Prompting,6,0.08583390116691592,0.28583390116691587,0.6283321976661682
41,Mistral,Attr Prompting,10,0.7441224018111825,0.22793879909440873,0.027938799094408745
42,Mistral,Attr Prompting,7,0.09778759777545931,0.29778759777545927,0.6044248044490814
43,Mistral,Attr Prompting,7,0.021464088559150718,0.22146408855915067,0.7570718228816986
44,Mistral,Attr Prompting,10,0.0,0.09046542644500732,0.9095345735549927
45,Mistral,Attr Prompting,7,0.0551257520914078,0.25512575209140775,0.6897484958171844
46,Mistral,Attr Prompting,6,0.13654866218566897,0.7,0.16345133781433105
47,Mistral,Attr Prompting,9,0.0,0.017661988735198975,0.982338011264801
48,Mistral,Attr Prompting,8,0.15101432204246523,0.7,0.14898567795753478
49,Mistral,Attr Prompting,5,0.0,0.02768513560295105,0.972314864397049
50,Mistral,Attr Prompting,5,0.0,0.0722411572933197,0.9277588427066803
51,Mistral,Attr Prompting,6,0.0,0.021285176277160645,0.9787148237228394
52,Mistral,Attr Prompting,10,0.0,0.046314775943756104,0.9536852240562439
53,Mistral,Attr Prompting,6,0.005630099773407005,0.20563009977340696,0.788739800453186
54,Mistral,Attr Prompting,8,0.0,0.07376155257225037,0.9262384474277496
55,Mistral,Attr Prompting,4,0.1344755381345749,0.7,0.1655244618654251
56,Mistral,Attr Prompting,9,0.062281304597854636,0.2622813045978546,0.6754373908042908
57,Mistral,Attr Prompting,7,0.0,0.06862756609916687,0.9313724339008331
58,Mistral,Attr Prompting,6,0.0,0.15944549441337585,0.8405545055866241
59,Mistral,Attr Prompting,8,0.07074601352214815,0.2707460135221481,0.6585079729557037
60,Mistral,Attr Prompting,3,0.0,0.01291036605834961,0.9870896339416504
61,Mistral,Attr Prompting,4,0.06539812088012698,0.26539812088012693,0.6692037582397461
62,Mistral,Attr Prompting,5,0.0,0.10426515340805054,0.8957348465919495
63,Mistral,Attr Prompting,8,0.11157753467559817,0.4115775346755981,0.47684493064880373
64,Mistral,Attr Prompting,8,0.0,0.05098477005958557,0.9490152299404144
65,Mistral,Attr Prompting,9,0.0,0.01608586311340332,0.9839141368865967
66,Mistral,Attr Prompting,6,0.0,0.04768607020378113,0.9523139297962189
67,Mistral,Attr Prompting,10,0.04923533797264101,0.24923533797264097,0.701529324054718
68,Mistral,Attr Prompting,8,0.0,0.04359173774719238,0.9564082622528076
69,Mistral,Attr Prompting,8,0.0,0.1341136395931244,0.8658863604068756
70,Mistral,Attr Prompting,10,0.0020683348178863747,0.20206833481788633,0.7958633303642273
71,Mistral,Attr Prompting,8,0.0,0.1377473771572113,0.8622526228427887
72,Mistral,Attr Prompting,7,0.0,0.11979824304580688,0.8802017569541931
73,Mistral,Attr Prompting,7,0.0967761963605881,0.29677619636058805,0.6064476072788239
74,Mistral,Attr Prompting,4,0.0,0.04379495978355408,0.9562050402164459
75,Mistral,Attr Prompting,7,0.0956228017807007,0.29562280178070066,0.6087543964385986
76,Mistral,Attr Prompting,7,0.03607539236545565,0.2360753923654556,0.7278492152690887
77,Mistral,Attr Prompting,4,0.04621753990650179,0.24621753990650175,0.7075649201869965
78,Mistral,Attr Prompting,6,0.09162771105766299,0.29162771105766294,0.6167445778846741
79,Mistral,Attr Prompting,6,0.0,0.15026137232780457,0.8497386276721954
80,Mistral,Attr Prompting,9,0.022594386339187644,0.2225943863391876,0.7548112273216248
81,Mistral,Attr Prompting,7,0.024390751123428367,0.22439075112342832,0.7512184977531433
82,Mistral,Attr Prompting,5,0.0,0.13675889372825623,0.8632411062717438
83,Mistral,Attr Prompting,5,0.0,0.10176202654838562,0.8982379734516144
84,Mistral,Attr Prompting,5,0.0,0.01571473479270935,0.9842852652072906
85,Mistral,Attr Prompting,6,0.12674125432968142,0.7,0.1732587456703186
86,Mistral,Attr Prompting,7,0.0,0.14934328198432922,0.8506567180156708
87,Mistral,Attr Prompting,5,0.03425491750240328,0.23425491750240324,0.7314901649951935
88,Mistral,Attr Prompting,5,0.15026001036167147,0.7,0.14973998963832855
89,Mistral,Attr Prompting,3,0.11720634400844576,0.4172063440084457,0.46558731198310854
90,Mistral,Attr Prompting,10,0.0,0.1278093457221985,0.8721906542778015
91,Mistral,Attr Prompting,6,0.10276769995689394,0.4027676999568939,0.4944646000862122
92,Mistral,Attr Prompting,3,0.03378472626209261,0.23378472626209257,0.7324305474758148
93,Mistral,Attr Prompting,6,0.0,0.19330239295959473,0.8066976070404053
94,Mistral,Attr Prompting,7,0.06882212460041048,0.26882212460041044,0.6623557507991791
95,Mistral,Attr Prompting,9,0.0,0.16498947143554688,0.8350105285644531
96,Mistral,Attr Prompting,6,0.0011389642953872903,0.20113896429538725,0.7977220714092255
97,Mistral,Attr Prompting,9,0.0,0.03143864870071411,0.9685613512992859
98,Mistral,Attr Prompting,7,0.0,0.19919738173484802,0.800802618265152
99,Mistral,Attr Prompting,8,0.0,0.12237367033958435,0.8776263296604156
100,Mistral,Attr Prompting,5,0.14841424822807314,0.7,0.15158575177192687
101,Mistral,Attr Prompting,7,0.0,0.050591498613357544,0.9494085013866425
102,Mistral,Attr Prompting,5,0.0,0.05639505386352539,0.9436049461364746
103,Mistral,Attr Prompting,9,0.028398001194000266,0.22839800119400022,0.7432039976119995
104,Mistral,Attr Prompting,3,0.0,0.16620928049087524,0.8337907195091248
105,Mistral,Attr Prompting,4,0.0,0.1892605423927307,0.8107394576072693
106,Mistral,Attr Prompting,8,0.0,0.011927902698516846,0.9880720973014832
107,Mistral,Attr Prompting,8,0.0,0.14311644434928894,0.8568835556507111
108,Mistral,Attr Prompting,10,0.08714964389801028,0.28714964389801023,0.6257007122039795
109,Mistral,Attr Prompting,9,0.0,0.036926984786987305,0.9630730152130127
110,Mistral,Attr Prompting,3,0.0,0.07102039456367493,0.9289796054363251
111,Mistral,Attr Prompting,7,0.0,0.10129466652870178,0.8987053334712982
112,Mistral,Attr Prompting,7,0.0,0.051627159118652344,0.9483728408813477
113,Mistral,Attr Prompting,3,0.02415266036987307,0.22415266036987302,0.7516946792602539
114,Mistral,Attr Prompting,10,0.0,0.005144059658050537,0.9948559403419495
115,Mistral,Attr Prompting,8,0.11761432290077212,0.41761432290077205,0.46477135419845583
116,Mistral,Attr Prompting,8,0.137047553062439,0.7,0.16295244693756103
117,Mistral,Attr Prompting,9,0.0035155057907104714,0.20351550579071043,0.7929689884185791
118,Mistral,Attr Prompting,9,0.0,0.004607886075973511,0.9953921139240265
119,Mistral,Attr Prompting,9,0.011644104123115562,0.21164410412311552,0.7767117917537689
120,Mistral,Attr Prompting,7,0.0,0.1320929229259491,0.8679070770740509
121,Mistral,Attr Prompting,7,0.0,0.08686336874961853,0.9131366312503815
122,Mistral,Attr Prompting,8,0.0,0.02215704321861267,0.9778429567813873
123,Mistral,Attr Prompting,8,0.1393361032009125,0.7,0.16066389679908752
124,Mistral,Attr Prompting,7,0.0,0.07856866717338562,0.9214313328266144
125,Mistral,Attr Prompting,7,0.12588692605495455,0.7,0.17411307394504547
126,Mistral,Attr Prompting,4,0.0,0.16944211721420288,0.8305578827857971
127,Mistral,Attr Prompting,8,0.0,0.19840610027313232,0.8015938997268677
128,Mistral,Attr Prompting,7,0.0,0.06444436311721802,0.935555636882782
129,Mistral,Attr Prompting,4,0.00699136555194857,0.20699136555194853,0.7860172688961029
130,Mistral,Attr Prompting,9,0.0,0.04148760437965393,0.9585123956203461
131,Mistral,Attr Prompting,5,0.11781715750694277,0.4178171575069427,0.4643656849861145
132,Mistral,Attr Prompting,9,0.0,0.049309104681015015,0.950690895318985
133,Mistral,Attr Prompting,5,0.1358830124139786,0.7,0.16411698758602142
134,Mistral,Attr Prompting,5,0.0,0.013507336378097534,0.9864926636219025
135,Mistral,Attr Prompting,10,0.06803483664989474,0.2680348366498947,0.6639303267002106
136,Mistral,Attr Prompting,6,0.0,0.026792675256729126,0.9732073247432709
137,Mistral,Attr Prompting,10,0.0,0.09664183855056763,0.9033581614494324
138,Mistral,Attr Prompting,8,0.0003620922565460427,0.200362092256546,0.799275815486908
139,Mistral,Attr Prompting,4,0.041877233982086204,0.24187723398208616,0.7162455320358276
140,Mistral,Attr Prompting,7,0.13203042149543764,0.7,0.16796957850456237
