chain_id,model,method,num_emails,sentiment_neg,sentiment_neu,sentiment_pos
0,GPT4,Bare Llama3B,3,0.0,0.031320810317993164,0.9686791896820068
1,GPT4,Bare Llama3B,3,0.02013751268386843,0.22013751268386839,0.7597249746322632
2,GPT4,Bare Llama3B,4,0.0,0.12059280276298523,0.8794071972370148
3,GPT4,Bare Llama3B,3,0.15082470476627352,0.7,0.1491752952337265
4,GPT4,Bare Llama3B,5,0.0,0.12785020470619202,0.872149795293808
5,GPT4,Bare Llama3B,5,0.0,0.17359495162963867,0.8264050483703613
6,GPT4,Bare Llama3B,5,0.005398610234260581,0.20539861023426054,0.7892027795314789
7,GPT4,Bare Llama3B,7,0.15085440278053286,0.7,0.14914559721946716
8,GPT4,Bare Llama3B,5,0.0,0.12121853232383728,0.8787814676761627
9,GPT4,Bare Llama3B,2,0.09419500231742861,0.29419500231742857,0.6116099953651428
10,GPT4,Bare Llama3B,3,0.021131449937820457,0.2211314499378204,0.7577371001243591
11,GPT4,Bare Llama3B,3,0.1510521709918976,0.7,0.1489478290081024
12,GPT4,Bare Llama3B,6,0.07278414964675906,0.272784149646759,0.6544317007064819
13,GPT4,Bare Llama3B,3,0.0,0.07272207736968994,0.9272779226303101
14,GPT4,Bare Llama3B,5,0.0,0.06505128741264343,0.9349487125873566
15,GPT4,Bare Llama3B,6,0.08417033553123476,0.2841703355312347,0.6316593289375305
16,GPT4,Bare Llama3B,2,0.0,0.12045395374298096,0.879546046257019
17,GPT4,Bare Llama3B,6,0.09645592570304873,0.2964559257030487,0.6070881485939026
18,GPT4,Bare Llama3B,2,0.004519397020339988,0.20451939702033994,0.7909612059593201
19,GPT4,Bare Llama3B,2,0.034511306881904624,0.23451130688190458,0.7309773862361908
20,GPT4,Bare Llama3B,6,0.0,0.18066251277923584,0.8193374872207642
21,GPT4,Bare Llama3B,2,0.0,0.10262495279312134,0.8973750472068787
22,GPT4,Bare Llama3B,3,0.1141491621732712,0.41414916217327113,0.47170167565345766
