chain_id,model,method,num_emails,sentiment_neg,sentiment_neu,sentiment_pos
0,Claude,Bare Llama8B,4,0.04173993468284609,0.24173993468284605,0.7165201306343079
1,Claude,Bare Llama8B,4,0.0,0.0023288726806640625,0.9976711273193359
2,Claude,Bare Llama8B,5,0.9502888317219913,0.0497111682780087,0.0
3,Claude,Bare Llama8B,4,0.0,0.0068576037883758545,0.9931423962116241
4,Claude,Bare Llama8B,3,0.048966073989868186,0.24896607398986814,0.7020678520202637
5,Claude,Bare Llama8B,4,0.150469908118248,0.7,0.149530091881752
6,Claude,Bare Llama8B,2,0.0,0.19668060541152954,0.8033193945884705
7,Claude,Bare Llama8B,3,0.04472682774066927,0.24472682774066923,0.7105463445186615
8,Claude,Bare Llama8B,2,0.0,0.1841256320476532,0.8158743679523468
9,Claude,Bare Llama8B,3,0.0,0.18742072582244873,0.8125792741775513
10,Claude,Bare Llama8B,3,0.13285929858684542,0.7,0.1671407014131546
11,Claude,Bare Llama8B,5,0.06707742214202883,0.2670774221420288,0.6658451557159424
12,Claude,Bare Llama8B,5,0.13747287690639498,0.7,0.16252712309360504
13,Claude,Bare Llama8B,7,0.0,0.022413194179534912,0.9775868058204651
14,Claude,Bare Llama8B,3,0.07637634277343752,0.2763763427734375,0.647247314453125
15,Claude,Bare Llama8B,2,0.0,0.021873772144317627,0.9781262278556824
16,Claude,Bare Llama8B,4,0.08463996052742007,0.28463996052742,0.6307200789451599
17,Claude,Bare Llama8B,3,0.9896364992018789,0.010363500798121095,0.0
18,Claude,Bare Llama8B,4,0.12206477820873263,0.42206477820873256,0.4558704435825348
19,Claude,Bare Llama8B,3,0.0,0.10310077667236328,0.8968992233276367
20,Claude,Bare Llama8B,5,0.09180572032928469,0.29180572032928465,0.6163885593414307
21,Claude,Bare Llama8B,5,0.142039829492569,0.7,0.15796017050743102
22,Claude,Bare Llama8B,5,0.09805407524108889,0.29805407524108884,0.6038918495178223
23,Claude,Bare Llama8B,2,0.0,0.03129386901855469,0.9687061309814453
24,Claude,Bare Llama8B,4,0.10519344508647921,0.40519344508647914,0.48961310982704165
25,Claude,Bare Llama8B,4,0.13568300902843478,0.7,0.16431699097156524
26,Claude,Bare Llama8B,3,0.08920694291591647,0.2892069429159164,0.6215861141681671
27,Claude,Bare Llama8B,2,0.0,0.1912616789340973,0.8087383210659027
28,Claude,Bare Llama8B,5,0.0,0.06824138760566711,0.9317586123943329
29,Claude,Bare Llama8B,4,0.06779495775699618,0.26779495775699613,0.6644100844860077
30,Claude,Bare Llama8B,4,0.0,0.08932691812515259,0.9106730818748474
31,Claude,Bare Llama8B,2,0.11229426562786105,0.412294265627861,0.475411468744278
32,Claude,Bare Llama8B,4,0.0,0.11453783512115479,0.8854621648788452
33,Claude,Bare Llama8B,3,0.0,0.06712612509727478,0.9328738749027252
34,Claude,Bare Llama8B,4,0.1450150102376938,0.7,0.1549849897623062
35,Claude,Bare Llama8B,3,0.07647856473922732,0.2764785647392273,0.6470428705215454
36,Claude,Bare Llama8B,2,0.14210245907306673,0.7,0.15789754092693328
37,Claude,Bare Llama8B,2,0.9777443133061752,0.022255686693824828,0.0
38,Claude,Bare Llama8B,6,0.0988215744495392,0.29882157444953916,0.6023568511009216
39,Claude,Bare Llama8B,2,0.11791993081569674,0.41791993081569667,0.4641601383686066
40,Claude,Bare Llama8B,4,0.07415876686573031,0.27415876686573026,0.6516824662685394
41,Claude,Bare Llama8B,5,0.09172784686088564,0.2917278468608856,0.6165443062782288
42,Claude,Bare Llama8B,1,0.05373399853706362,0.2537339985370636,0.6925320029258728
43,Claude,Bare Llama8B,4,0.0,0.012082219123840332,0.9879177808761597
44,Claude,Bare Llama8B,3,0.0,0.00741460919380188,0.9925853908061981
45,Claude,Bare Llama8B,2,0.0,0.06912186741828918,0.9308781325817108
46,Claude,Bare Llama8B,3,0.07807412147521975,0.2780741214752197,0.6438517570495605
47,Claude,Bare Llama8B,4,0.025384300947189353,0.2253843009471893,0.7492313981056213
48,Claude,Bare Llama8B,5,0.0,0.01518237590789795,0.984817624092102
49,Claude,Bare Llama8B,5,0.09729840755462649,0.29729840755462644,0.6054031848907471
50,Claude,Bare Llama8B,4,0.1137369513511658,0.4137369513511657,0.4725260972976685
51,Claude,Bare Llama8B,5,0.1417232245206833,0.7,0.1582767754793167
52,Claude,Bare Llama8B,3,0.14858909845352175,0.7,0.15141090154647827
53,Claude,Bare Llama8B,4,0.0,0.07712644338607788,0.9228735566139221
54,Claude,Bare Llama8B,3,0.0,0.05473652482032776,0.9452634751796722
55,Claude,Bare Llama8B,3,0.8964253645390272,0.10357463546097279,0.0
56,Claude,Bare Llama8B,4,0.0600310802459717,0.26003108024597166,0.6799378395080566
57,Claude,Bare Llama8B,4,0.0,0.017178386449813843,0.9828216135501862
58,Claude,Bare Llama8B,4,0.09977653026580813,0.2997765302658081,0.6004469394683838
59,Claude,Bare Llama8B,3,0.1461802810430527,0.7,0.15381971895694732
60,Claude,Bare Llama8B,5,0.06035820543766024,0.2603582054376602,0.6792835891246796
61,Claude,Bare Llama8B,8,0.14499319493770602,0.7,0.155006805062294
62,Claude,Bare Llama8B,3,0.0,0.04414403438568115,0.9558559656143188
63,Claude,Bare Llama8B,2,0.0,0.1199428141117096,0.8800571858882904
64,Claude,Bare Llama8B,5,0.13668619990348818,0.7,0.16331380009651184
65,Claude,Bare Llama8B,5,0.0,0.16608551144599915,0.8339144885540009
66,Claude,Bare Llama8B,2,0.0,0.18279194831848145,0.8172080516815186
67,Claude,Bare Llama8B,4,0.0,0.06462681293487549,0.9353731870651245
68,Claude,Bare Llama8B,5,0.14793849885463717,0.7,0.15206150114536285
69,Claude,Bare Llama8B,2,0.14987867474555971,0.7,0.1501213252544403
70,Claude,Bare Llama8B,3,0.1156001925468445,0.41560019254684444,0.46879961490631106
71,Claude,Bare Llama8B,3,0.0,0.12894240021705627,0.8710575997829437
72,Claude,Bare Llama8B,4,0.9977987899910659,0.00220121000893414,0.0
73,Claude,Bare Llama8B,3,0.13239912092685702,0.7,0.167600879073143
74,Claude,Bare Llama8B,4,0.1379453927278519,0.7,0.16205460727214813
75,Claude,Bare Llama8B,5,0.08879203498363497,0.2887920349836349,0.6224159300327301
76,Claude,Bare Llama8B,5,0.10732834935188296,0.4073283493518829,0.48534330129623415
77,Claude,Bare Llama8B,2,0.009297126531600974,0.20929712653160093,0.7814057469367981
78,Claude,Bare Llama8B,4,0.08527886271476748,0.28527886271476743,0.6294422745704651
79,Claude,Bare Llama8B,5,0.1736623687669635,0.7,0.1263376312330365
80,Claude,Bare Llama8B,6,0.14963137507438662,0.7,0.1503686249256134
81,Claude,Bare Llama8B,5,0.08209250271320345,0.2820925027132034,0.6358149945735931
82,Claude,Bare Llama8B,4,0.08743012845516207,0.287430128455162,0.6251397430896759
83,Claude,Bare Llama8B,4,0.022295260429382346,0.2222952604293823,0.7554094791412354
84,Claude,Bare Llama8B,2,0.0,0.022052794694900513,0.9779472053050995
85,Claude,Bare Llama8B,3,0.0,0.012007832527160645,0.9879921674728394
86,Claude,Bare Llama8B,7,0.0,0.046821415424346924,0.9531785845756531
