chain_id,model,method,num_emails,sentiment_neg,sentiment_neu,sentiment_pos
0,Gemini,Fewshot,7,0.042238259315490745,0.2422382593154907,0.7155234813690186
1,Gemini,Fewshot,7,0.09116933643817904,0.291169336438179,0.617661327123642
2,Gemini,Fewshot,7,0.07253765463829043,0.2725376546382904,0.6549246907234192
3,Gemini,Fewshot,7,0.0,0.14508074522018433,0.8549192547798157
4,Gemini,Fewshot,7,0.08162015080451968,0.28162015080451963,0.6367596983909607
5,Gemini,Fewshot,7,0.0647371053695679,0.26473710536956785,0.6705257892608643
6,Gemini,Fewshot,7,0.14305889010429385,0.7,0.15694110989570617
7,Gemini,Fewshot,6,0.14884232878685,0.7,0.15115767121315002
8,Gemini,Fewshot,7,0.0,0.13413521647453308,0.8658647835254669
9,Gemini,Fewshot,7,0.060287007689476035,0.260287007689476,0.679425984621048
10,Gemini,Fewshot,6,0.14366287887096407,0.7,0.15633712112903594
11,Gemini,Fewshot,7,0.14369873106479647,0.7,0.15630126893520355
12,Gemini,Fewshot,6,0.0,0.02162107825279236,0.9783789217472076
13,Gemini,Fewshot,7,0.13616112768650057,0.7,0.16383887231349945
14,Gemini,Fewshot,6,0.06665229201316836,0.2666522920131683,0.6666954159736633
15,Gemini,Fewshot,6,0.14810081720352175,0.7,0.15189918279647827
16,Gemini,Fewshot,7,0.13984628915786745,0.7,0.16015371084213256
17,Gemini,Fewshot,6,0.1400230020284653,0.7,0.15997699797153472
18,Gemini,Fewshot,7,0.07316958308219912,0.2731695830821991,0.6536608338356018
19,Gemini,Fewshot,6,0.14466855823993685,0.7,0.15533144176006317
20,Gemini,Fewshot,6,0.14518546462059023,0.7,0.15481453537940978
21,Gemini,Fewshot,7,0.0,0.17505565285682678,0.8249443471431732
22,Gemini,Fewshot,6,0.0,0.13213300704956055,0.8678669929504395
23,Gemini,Fewshot,7,0.0,0.10601890087127686,0.8939810991287231
24,Gemini,Fewshot,6,0.0,0.14669618010520935,0.8533038198947906
25,Gemini,Fewshot,7,0.0,0.10185346007347107,0.8981465399265289
26,Gemini,Fewshot,7,0.0,0.02654460072517395,0.973455399274826
27,Gemini,Fewshot,7,0.0838575750589371,0.28385757505893705,0.6322848498821259
28,Gemini,Fewshot,7,0.11203869581222536,0.4120386958122253,0.47592260837554934
29,Gemini,Fewshot,7,0.01363908648490908,0.21363908648490904,0.7727218270301819
30,Gemini,Fewshot,6,0.0,0.09456312656402588,0.9054368734359741
31,Gemini,Fewshot,7,0.14442675709724428,0.7,0.15557324290275573
32,Gemini,Fewshot,7,0.12795611619949343,0.7,0.1720438838005066
33,Gemini,Fewshot,7,0.0,0.04679197072982788,0.9532080292701721
34,Gemini,Fewshot,7,0.10864543318748476,0.4086454331874847,0.48270913362503054
35,Gemini,Fewshot,7,0.0,0.019059687852859497,0.9809403121471405
36,Gemini,Fewshot,7,0.14381311237812044,0.7,0.15618688762187957
37,Gemini,Fewshot,7,0.12634179890155794,0.7,0.17365820109844207
38,Gemini,Fewshot,6,0.0,0.1490686535835266,0.8509313464164734
39,Gemini,Fewshot,7,0.14957343935966494,0.7,0.15042656064033508
40,Gemini,Fewshot,7,0.08134778738021853,0.2813477873802185,0.637304425239563
41,Gemini,Fewshot,7,0.12012399137020113,0.42012399137020107,0.4597520172595978
42,Gemini,Fewshot,7,0.0,0.025460898876190186,0.9745391011238098
43,Gemini,Fewshot,7,0.13579427599906924,0.7,0.16420572400093078
44,Gemini,Fewshot,7,0.15078558921813967,0.7,0.14921441078186035
45,Gemini,Fewshot,7,0.09372582435607912,0.2937258243560791,0.6125483512878418
46,Gemini,Fewshot,7,0.015056112408638023,0.21505611240863798,0.769887775182724
47,Gemini,Fewshot,6,0.0,0.1001528799533844,0.8998471200466156
48,Gemini,Fewshot,7,0.13953892290592196,0.7,0.16046107709407806
49,Gemini,Fewshot,7,0.10885652303695681,0.40885652303695674,0.48228695392608645
50,Gemini,Fewshot,7,0.042238259315490745,0.2422382593154907,0.7155234813690186
51,Gemini,Fewshot,7,0.09116933643817904,0.291169336438179,0.617661327123642
52,Gemini,Fewshot,7,0.07253765463829043,0.2725376546382904,0.6549246907234192
53,Gemini,Fewshot,7,0.0,0.14508074522018433,0.8549192547798157
54,Gemini,Fewshot,7,0.08162015080451968,0.28162015080451963,0.6367596983909607
55,Gemini,Fewshot,7,0.0647371053695679,0.26473710536956785,0.6705257892608643
56,Gemini,Fewshot,7,0.14305889010429385,0.7,0.15694110989570617
57,Gemini,Fewshot,6,0.14884232878685,0.7,0.15115767121315002
58,Gemini,Fewshot,7,0.0,0.13413521647453308,0.8658647835254669
59,Gemini,Fewshot,7,0.060287007689476035,0.260287007689476,0.679425984621048
60,Gemini,Fewshot,6,0.14366287887096407,0.7,0.15633712112903594
61,Gemini,Fewshot,7,0.14369873106479647,0.7,0.15630126893520355
62,Gemini,Fewshot,6,0.0,0.02162107825279236,0.9783789217472076
63,Gemini,Fewshot,7,0.13616112768650057,0.7,0.16383887231349945
64,Gemini,Fewshot,6,0.06665229201316836,0.2666522920131683,0.6666954159736633
65,Gemini,Fewshot,6,0.14810081720352175,0.7,0.15189918279647827
66,Gemini,Fewshot,7,0.13984628915786745,0.7,0.16015371084213256
67,Gemini,Fewshot,6,0.1400230020284653,0.7,0.15997699797153472
68,Gemini,Fewshot,7,0.07316958308219912,0.2731695830821991,0.6536608338356018
69,Gemini,Fewshot,6,0.14466855823993685,0.7,0.15533144176006317
70,Gemini,Fewshot,6,0.14518546462059023,0.7,0.15481453537940978
71,Gemini,Fewshot,7,0.0,0.17505565285682678,0.8249443471431732
72,Gemini,Fewshot,6,0.0,0.13213300704956055,0.8678669929504395
73,Gemini,Fewshot,7,0.0,0.10601890087127686,0.8939810991287231
74,Gemini,Fewshot,6,0.0,0.14669618010520935,0.8533038198947906
75,Gemini,Fewshot,7,0.0,0.10185346007347107,0.8981465399265289
76,Gemini,Fewshot,7,0.0,0.02654460072517395,0.973455399274826
77,Gemini,Fewshot,7,0.0838575750589371,0.28385757505893705,0.6322848498821259
78,Gemini,Fewshot,7,0.11203869581222536,0.4120386958122253,0.47592260837554934
79,Gemini,Fewshot,7,0.01363908648490908,0.21363908648490904,0.7727218270301819
80,Gemini,Fewshot,6,0.0,0.09456312656402588,0.9054368734359741
81,Gemini,Fewshot,7,0.14442675709724428,0.7,0.15557324290275573
82,Gemini,Fewshot,7,0.12795611619949343,0.7,0.1720438838005066
83,Gemini,Fewshot,7,0.0,0.04679197072982788,0.9532080292701721
84,Gemini,Fewshot,7,0.10864543318748476,0.4086454331874847,0.48270913362503054
85,Gemini,Fewshot,7,0.0,0.019059687852859497,0.9809403121471405
86,Gemini,Fewshot,7,0.14381311237812044,0.7,0.15618688762187957
87,Gemini,Fewshot,7,0.12634179890155794,0.7,0.17365820109844207
88,Gemini,Fewshot,6,0.0,0.1490686535835266,0.8509313464164734
89,Gemini,Fewshot,7,0.14957343935966494,0.7,0.15042656064033508
90,Gemini,Fewshot,7,0.08134778738021853,0.2813477873802185,0.637304425239563
91,Gemini,Fewshot,7,0.12012399137020113,0.42012399137020107,0.4597520172595978
92,Gemini,Fewshot,7,0.0,0.025460898876190186,0.9745391011238098
93,Gemini,Fewshot,7,0.13579427599906924,0.7,0.16420572400093078
94,Gemini,Fewshot,7,0.15078558921813967,0.7,0.14921441078186035
95,Gemini,Fewshot,7,0.09372582435607912,0.2937258243560791,0.6125483512878418
96,Gemini,Fewshot,7,0.015056112408638023,0.21505611240863798,0.769887775182724
97,Gemini,Fewshot,6,0.0,0.1001528799533844,0.8998471200466156
98,Gemini,Fewshot,7,0.13953892290592196,0.7,0.16046107709407806
99,Gemini,Fewshot,7,0.10885652303695681,0.40885652303695674,0.48228695392608645
100,Gemini,Fewshot,7,0.014531502127647422,0.21453150212764738,0.7709369957447052
101,Gemini,Fewshot,6,0.14893382191658022,0.7,0.1510661780834198
102,Gemini,Fewshot,7,0.0,0.15372875332832336,0.8462712466716766
103,Gemini,Fewshot,7,0.0,0.01923966407775879,0.9807603359222412
104,Gemini,Fewshot,7,0.009744817018508933,0.2097448170185089,0.7805103659629822
105,Gemini,Fewshot,6,0.0,0.15471485257148743,0.8452851474285126
106,Gemini,Fewshot,7,0.0,0.19224300980567932,0.8077569901943207
107,Gemini,Fewshot,7,0.14927133321762087,0.7,0.15072866678237914
108,Gemini,Fewshot,6,0.036747419834136985,0.23674741983413694,0.7265051603317261
109,Gemini,Fewshot,7,0.10867753028869631,0.40867753028869624,0.48264493942260744
110,Gemini,Fewshot,7,0.1429148852825165,0.7,0.15708511471748351
111,Gemini,Fewshot,7,0.13958197236061098,0.7,0.16041802763938903
112,Gemini,Fewshot,7,0.14510601162910464,0.7,0.15489398837089538
113,Gemini,Fewshot,6,0.0,0.19524836540222168,0.8047516345977783
114,Gemini,Fewshot,7,0.0035933643579483254,0.20359336435794828,0.7928132712841034
115,Gemini,Fewshot,7,0.06098059713840487,0.2609805971384048,0.6780388057231903
116,Gemini,Fewshot,6,0.06648858785629275,0.2664885878562927,0.6670228242874146
117,Gemini,Fewshot,7,0.0,0.14638030529022217,0.8536196947097778
118,Gemini,Fewshot,7,0.14612371623516085,0.7,0.15387628376483917
119,Gemini,Fewshot,6,0.0,0.19206935167312622,0.8079306483268738
120,Gemini,Fewshot,7,0.09667342305183413,0.2966734230518341,0.6066531538963318
121,Gemini,Fewshot,7,0.024797314405441306,0.22479731440544126,0.7504053711891174
122,Gemini,Fewshot,7,0.05796083211898806,0.257960832118988,0.6840783357620239
123,Gemini,Fewshot,6,0.08746170401573183,0.2874617040157318,0.6250765919685364
124,Gemini,Fewshot,7,0.0,0.11908140778541565,0.8809185922145844
125,Gemini,Fewshot,7,0.0,0.0975649356842041,0.9024350643157959
126,Gemini,Fewshot,7,0.04681631326675417,0.24681631326675413,0.7063673734664917
127,Gemini,Fewshot,6,0.021694907546043418,0.22169490754604337,0.7566101849079132
128,Gemini,Fewshot,7,0.0,0.1436988115310669,0.8563011884689331
129,Gemini,Fewshot,7,0.14266849458217623,0.7,0.15733150541782379
130,Gemini,Fewshot,7,0.08810351192951205,0.288103511929512,0.623792976140976
131,Gemini,Fewshot,7,0.0934347450733185,0.29343474507331846,0.613130509853363
132,Gemini,Fewshot,7,0.06324158012866976,0.2632415801286697,0.6735168397426605
133,Gemini,Fewshot,7,0.13845972120761874,0.7,0.16154027879238128
134,Gemini,Fewshot,8,0.014423662424087547,0.2144236624240875,0.771152675151825
135,Gemini,Fewshot,7,0.045588144659996055,0.245588144659996,0.7088237106800079
136,Gemini,Fewshot,7,0.13537819087505343,0.7,0.1646218091249466
137,Gemini,Fewshot,7,0.067633593082428,0.26763359308242796,0.664732813835144
138,Gemini,Fewshot,7,0.1198339104652405,0.41983391046524043,0.46033217906951907
139,Gemini,Fewshot,7,0.07200228571891787,0.2720022857189178,0.6559954285621643
140,Gemini,Fewshot,7,0.1229636460542679,0.42296364605426784,0.45407270789146426
141,Gemini,Fewshot,7,0.0,0.1424875259399414,0.8575124740600586
142,Gemini,Fewshot,6,0.004970037937164329,0.20497003793716428,0.7900599241256714
143,Gemini,Fewshot,7,0.12347159683704378,0.4234715968370437,0.4530568063259125
144,Gemini,Fewshot,6,0.0,0.008721321821212769,0.9912786781787872
145,Gemini,Fewshot,7,0.022586295008659385,0.22258629500865934,0.7548274099826813
146,Gemini,Fewshot,6,0.04174035191535952,0.24174035191535947,0.716519296169281
147,Gemini,Fewshot,7,0.0825048476457596,0.28250484764575956,0.6349903047084808
148,Gemini,Fewshot,6,0.14096938967704775,0.7,0.15903061032295226
149,Gemini,Fewshot,7,0.042238259315490745,0.2422382593154907,0.7155234813690186
150,Gemini,Fewshot,7,0.09116933643817904,0.291169336438179,0.617661327123642
151,Gemini,Fewshot,7,0.07253765463829043,0.2725376546382904,0.6549246907234192
152,Gemini,Fewshot,7,0.0,0.14508074522018433,0.8549192547798157
153,Gemini,Fewshot,7,0.08162015080451968,0.28162015080451963,0.6367596983909607
154,Gemini,Fewshot,7,0.0647371053695679,0.26473710536956785,0.6705257892608643
155,Gemini,Fewshot,7,0.14305889010429385,0.7,0.15694110989570617
156,Gemini,Fewshot,6,0.14884232878685,0.7,0.15115767121315002
157,Gemini,Fewshot,7,0.0,0.13413521647453308,0.8658647835254669
158,Gemini,Fewshot,7,0.060287007689476035,0.260287007689476,0.679425984621048
159,Gemini,Fewshot,6,0.14366287887096407,0.7,0.15633712112903594
160,Gemini,Fewshot,7,0.14369873106479647,0.7,0.15630126893520355
161,Gemini,Fewshot,6,0.0,0.02162107825279236,0.9783789217472076
162,Gemini,Fewshot,7,0.13616112768650057,0.7,0.16383887231349945
163,Gemini,Fewshot,6,0.06665229201316836,0.2666522920131683,0.6666954159736633
164,Gemini,Fewshot,6,0.14810081720352175,0.7,0.15189918279647827
165,Gemini,Fewshot,7,0.13984628915786745,0.7,0.16015371084213256
166,Gemini,Fewshot,6,0.1400230020284653,0.7,0.15997699797153472
167,Gemini,Fewshot,7,0.07316958308219912,0.2731695830821991,0.6536608338356018
168,Gemini,Fewshot,6,0.14466855823993685,0.7,0.15533144176006317
169,Gemini,Fewshot,6,0.14518546462059023,0.7,0.15481453537940978
170,Gemini,Fewshot,7,0.0,0.17505565285682678,0.8249443471431732
171,Gemini,Fewshot,6,0.0,0.13213300704956055,0.8678669929504395
172,Gemini,Fewshot,7,0.0,0.10601890087127686,0.8939810991287231
173,Gemini,Fewshot,6,0.0,0.14669618010520935,0.8533038198947906
174,Gemini,Fewshot,7,0.0,0.10185346007347107,0.8981465399265289
175,Gemini,Fewshot,7,0.0,0.02654460072517395,0.973455399274826
176,Gemini,Fewshot,7,0.0838575750589371,0.28385757505893705,0.6322848498821259
177,Gemini,Fewshot,7,0.11203869581222536,0.4120386958122253,0.47592260837554934
178,Gemini,Fewshot,7,0.01363908648490908,0.21363908648490904,0.7727218270301819
179,Gemini,Fewshot,6,0.0,0.09456312656402588,0.9054368734359741
180,Gemini,Fewshot,7,0.14442675709724428,0.7,0.15557324290275573
181,Gemini,Fewshot,7,0.12795611619949343,0.7,0.1720438838005066
182,Gemini,Fewshot,7,0.0,0.04679197072982788,0.9532080292701721
183,Gemini,Fewshot,7,0.10864543318748476,0.4086454331874847,0.48270913362503054
184,Gemini,Fewshot,7,0.0,0.019059687852859497,0.9809403121471405
185,Gemini,Fewshot,7,0.14381311237812044,0.7,0.15618688762187957
186,Gemini,Fewshot,7,0.12634179890155794,0.7,0.17365820109844207
187,Gemini,Fewshot,6,0.0,0.1490686535835266,0.8509313464164734
188,Gemini,Fewshot,7,0.14957343935966494,0.7,0.15042656064033508
189,Gemini,Fewshot,7,0.08134778738021853,0.2813477873802185,0.637304425239563
190,Gemini,Fewshot,7,0.12012399137020113,0.42012399137020107,0.4597520172595978
191,Gemini,Fewshot,7,0.0,0.025460898876190186,0.9745391011238098
192,Gemini,Fewshot,7,0.13579427599906924,0.7,0.16420572400093078
193,Gemini,Fewshot,7,0.15078558921813967,0.7,0.14921441078186035
194,Gemini,Fewshot,7,0.09372582435607912,0.2937258243560791,0.6125483512878418
195,Gemini,Fewshot,7,0.015056112408638023,0.21505611240863798,0.769887775182724
196,Gemini,Fewshot,6,0.0,0.1001528799533844,0.8998471200466156
197,Gemini,Fewshot,7,0.13953892290592196,0.7,0.16046107709407806
198,Gemini,Fewshot,7,0.10885652303695681,0.40885652303695674,0.48228695392608645
199,Gemini,Fewshot,7,0.014531502127647422,0.21453150212764738,0.7709369957447052
200,Gemini,Fewshot,6,0.14893382191658022,0.7,0.1510661780834198
201,Gemini,Fewshot,7,0.0,0.15372875332832336,0.8462712466716766
202,Gemini,Fewshot,7,0.0,0.01923966407775879,0.9807603359222412
203,Gemini,Fewshot,7,0.009744817018508933,0.2097448170185089,0.7805103659629822
204,Gemini,Fewshot,6,0.0,0.15471485257148743,0.8452851474285126
205,Gemini,Fewshot,7,0.0,0.19224300980567932,0.8077569901943207
206,Gemini,Fewshot,7,0.14927133321762087,0.7,0.15072866678237914
207,Gemini,Fewshot,6,0.036747419834136985,0.23674741983413694,0.7265051603317261
208,Gemini,Fewshot,7,0.10867753028869631,0.40867753028869624,0.48264493942260744
209,Gemini,Fewshot,7,0.1429148852825165,0.7,0.15708511471748351
210,Gemini,Fewshot,7,0.13958197236061098,0.7,0.16041802763938903
211,Gemini,Fewshot,7,0.14510601162910464,0.7,0.15489398837089538
212,Gemini,Fewshot,6,0.0,0.19524836540222168,0.8047516345977783
213,Gemini,Fewshot,7,0.0035933643579483254,0.20359336435794828,0.7928132712841034
214,Gemini,Fewshot,7,0.06098059713840487,0.2609805971384048,0.6780388057231903
215,Gemini,Fewshot,6,0.06648858785629275,0.2664885878562927,0.6670228242874146
216,Gemini,Fewshot,7,0.0,0.14638030529022217,0.8536196947097778
217,Gemini,Fewshot,7,0.14612371623516085,0.7,0.15387628376483917
218,Gemini,Fewshot,6,0.0,0.19206935167312622,0.8079306483268738
219,Gemini,Fewshot,7,0.09667342305183413,0.2966734230518341,0.6066531538963318
220,Gemini,Fewshot,7,0.024797314405441306,0.22479731440544126,0.7504053711891174
221,Gemini,Fewshot,7,0.05796083211898806,0.257960832118988,0.6840783357620239
222,Gemini,Fewshot,6,0.08746170401573183,0.2874617040157318,0.6250765919685364
223,Gemini,Fewshot,7,0.0,0.11908140778541565,0.8809185922145844
224,Gemini,Fewshot,7,0.0,0.0975649356842041,0.9024350643157959
225,Gemini,Fewshot,7,0.04681631326675417,0.24681631326675413,0.7063673734664917
226,Gemini,Fewshot,6,0.021694907546043418,0.22169490754604337,0.7566101849079132
227,Gemini,Fewshot,7,0.0,0.1436988115310669,0.8563011884689331
228,Gemini,Fewshot,7,0.14266849458217623,0.7,0.15733150541782379
229,Gemini,Fewshot,7,0.08810351192951205,0.288103511929512,0.623792976140976
230,Gemini,Fewshot,7,0.0934347450733185,0.29343474507331846,0.613130509853363
231,Gemini,Fewshot,7,0.06324158012866976,0.2632415801286697,0.6735168397426605
232,Gemini,Fewshot,7,0.13845972120761874,0.7,0.16154027879238128
233,Gemini,Fewshot,8,0.014423662424087547,0.2144236624240875,0.771152675151825
234,Gemini,Fewshot,7,0.045588144659996055,0.245588144659996,0.7088237106800079
235,Gemini,Fewshot,7,0.13537819087505343,0.7,0.1646218091249466
236,Gemini,Fewshot,7,0.067633593082428,0.26763359308242796,0.664732813835144
237,Gemini,Fewshot,7,0.1198339104652405,0.41983391046524043,0.46033217906951907
238,Gemini,Fewshot,7,0.07200228571891787,0.2720022857189178,0.6559954285621643
239,Gemini,Fewshot,7,0.1229636460542679,0.42296364605426784,0.45407270789146426
240,Gemini,Fewshot,7,0.0,0.1424875259399414,0.8575124740600586
241,Gemini,Fewshot,6,0.004970037937164329,0.20497003793716428,0.7900599241256714
242,Gemini,Fewshot,7,0.12347159683704378,0.4234715968370437,0.4530568063259125
243,Gemini,Fewshot,6,0.0,0.008721321821212769,0.9912786781787872
244,Gemini,Fewshot,7,0.022586295008659385,0.22258629500865934,0.7548274099826813
245,Gemini,Fewshot,6,0.04174035191535952,0.24174035191535947,0.716519296169281
246,Gemini,Fewshot,7,0.0825048476457596,0.28250484764575956,0.6349903047084808
247,Gemini,Fewshot,6,0.14096938967704775,0.7,0.15903061032295226
248,Gemini,Fewshot,7,0.0966308653354645,0.29663086533546446,0.606738269329071
249,Gemini,Fewshot,7,0.09711059331893923,0.2971105933189392,0.6057788133621216
250,Gemini,Fewshot,7,0.1085450887680054,0.4085450887680053,0.4829098224639893
251,Gemini,Fewshot,7,0.0,0.045861274003982544,0.9541387259960175
252,Gemini,Fewshot,7,0.13059020936489107,0.7,0.16940979063510894
253,Gemini,Fewshot,7,0.12256211936473849,0.4225621193647384,0.4548757612705231
254,Gemini,Fewshot,6,0.1323056757450104,0.7,0.16769432425498962
255,Gemini,Fewshot,7,0.03176277279853823,0.23176277279853819,0.7364744544029236
256,Gemini,Fewshot,7,0.13612961173057558,0.7,0.16387038826942443
257,Gemini,Fewshot,7,0.0971167176961899,0.29711671769618986,0.6057665646076202
258,Gemini,Fewshot,7,0.0,0.07976827025413513,0.9202317297458649
259,Gemini,Fewshot,7,0.11980959177017214,0.4198095917701721,0.4603808164596558
260,Gemini,Fewshot,7,0.14745988845825198,0.7,0.15254011154174804
261,Gemini,Fewshot,7,0.12862024605274203,0.7,0.171379753947258
262,Gemini,Fewshot,6,0.11028687059879305,0.410286870598793,0.47942625880241396
263,Gemini,Fewshot,7,0.09241866469383242,0.2924186646938324,0.6151626706123352
264,Gemini,Fewshot,7,0.11303471922874453,0.41303471922874446,0.473930561542511
265,Gemini,Fewshot,6,0.1223344147205353,0.42233441472053523,0.45533117055892947
266,Gemini,Fewshot,7,0.0,0.009222328662872314,0.9907776713371277
267,Gemini,Fewshot,6,0.08628664314746859,0.28628664314746854,0.6274267137050629
268,Gemini,Fewshot,7,0.08907259404659273,0.2890725940465927,0.6218548119068146
269,Gemini,Fewshot,6,0.11954502165317538,0.4195450216531753,0.4609099566936493
270,Gemini,Fewshot,7,0.14569527804851534,0.7,0.15430472195148467
271,Gemini,Fewshot,7,0.017575690150260947,0.2175756901502609,0.7648486196994781
272,Gemini,Fewshot,7,0.12174713015556338,0.4217471301555633,0.4565057396888733
273,Gemini,Fewshot,6,0.0,0.10863193869590759,0.8913680613040924
274,Gemini,Fewshot,7,0.0,0.10136374831199646,0.8986362516880035
