model,dataset,vessel_precision,vessel_recall,vessel_f1,vessel_micro_precision,vessel_micro_recall,vessel_micro_f1,port_precision,port_recall,port_f1,port_micro_precision,port_micro_recall,port_micro_f1,commodity_precision,commodity_recall,commodity_f1,commodity_micro_precision,commodity_micro_recall,commodity_micro_f1,incoterm_precision,incoterm_recall,incoterm_f1,incoterm_micro_precision,incoterm_micro_recall,incoterm_micro_f1,overall_precision,overall_recall,overall_f1,overall_micro_precision,overall_micro_recall,overall_micro_f1,total_tp,total_fp,total_fn,dataset_type
rule_based_tfidf,attr_prompting_claude,0.1179,0.4467,0.176,0.1151,0.4467,0.183,0.274,0.5961,0.3454,0.2422,0.5961,0.3444,0.1931,0.6861,0.2655,0.1283,0.6861,0.2162,0.4934,0.8159,0.5807,0.4444,0.8159,0.5754,0.2696,0.6362,0.3419,0.1965,0.6282,0.2994,3122,12766,1848,attr
rule_based_tfidf,attr_prompting_deepseek,0.1531,0.5731,0.2284,0.1301,0.5733,0.2121,0.2546,0.8973,0.3761,0.2134,0.8973,0.3448,0.2143,0.7184,0.2881,0.1109,0.7184,0.1921,0.5785,0.8437,0.6454,0.4765,0.8437,0.609,0.3001,0.7581,0.3845,0.1866,0.7861,0.3016,3921,17091,1067,attr
rule_based_tfidf,attr_prompting_gemini,0.13,0.569,0.2026,0.1155,0.5742,0.1923,0.3077,0.7185,0.3945,0.2482,0.7185,0.3689,0.1708,0.691,0.2438,0.1197,0.691,0.2041,0.5567,0.833,0.6345,0.5092,0.833,0.632,0.2913,0.7029,0.3689,0.1948,0.7073,0.3054,3530,14593,1461,attr
rule_based_tfidf,attr_prompting_gpt,0.1605,0.715,0.2513,0.14,0.715,0.2342,0.1901,0.9785,0.3116,0.1692,0.9795,0.2886,0.1979,0.842,0.2893,0.1223,0.842,0.2136,0.416,0.656,0.4816,0.4082,0.656,0.5032,0.2411,0.7979,0.3335,0.1657,0.8344,0.2764,4167,20986,827,attr
rule_based_tfidf,attr_prompting_mistral,0.1597,0.5258,0.2342,0.151,0.5258,0.2346,0.2677,0.9757,0.4112,0.2388,0.9757,0.3837,0.2179,0.543,0.2754,0.0881,0.543,0.1516,0.6252,0.8028,0.6771,0.6006,0.8036,0.6874,0.3176,0.7118,0.3995,0.1996,0.7648,0.3166,3781,15162,1163,attr
rule_based_tfidf,bare_llama_3b_claude,0.3309,0.3693,0.3378,0.0293,0.4173,0.0548,0.2038,0.78,0.3104,0.1719,0.9592,0.2916,0.3129,0.7175,0.379,0.1452,0.7839,0.245,0.8014,0.8224,0.8069,0.2772,0.4458,0.3418,0.4123,0.6723,0.4585,0.1491,0.8491,0.2537,2245,12808,399,bare
rule_based_tfidf,bare_llama_3b_deepseek,0.3235,0.3682,0.3312,0.0288,0.4082,0.0538,0.2047,0.8224,0.3138,0.1829,0.9539,0.3069,0.3067,0.7394,0.3732,0.14,0.778,0.2373,0.8136,0.832,0.8186,0.3171,0.4333,0.3662,0.4121,0.6905,0.4592,0.1553,0.854,0.2628,2720,14796,465,bare
rule_based_tfidf,bare_llama_3b_gemini,0.1769,0.2221,0.1833,0.0155,0.4015,0.0298,0.1926,0.8321,0.2985,0.169,0.9412,0.2865,0.2308,0.7829,0.31,0.1238,0.8282,0.2154,0.8019,0.8271,0.8091,0.291,0.5058,0.3694,0.3505,0.6661,0.4002,0.1322,0.8643,0.2293,2752,18065,432,bare
rule_based_tfidf,bare_llama_3b_gpt,0.3459,0.3918,0.3547,0.0349,0.4643,0.0649,0.1929,0.7949,0.2996,0.1753,0.9636,0.2966,0.3112,0.7415,0.3813,0.1462,0.8078,0.2476,0.8148,0.8397,0.8213,0.3152,0.5,0.3867,0.4162,0.692,0.4642,0.1539,0.8688,0.2614,2517,13842,380,bare
rule_based_tfidf,bare_llama_3b_mistral,0.3261,0.362,0.3326,0.0245,0.4138,0.0463,0.2042,0.8114,0.3093,0.1712,0.9535,0.2903,0.319,0.7331,0.3853,0.1461,0.7764,0.2459,0.8095,0.8282,0.8147,0.2963,0.4235,0.3487,0.4147,0.6837,0.4605,0.1499,0.8551,0.2551,2568,14563,435,bare
rule_based_tfidf,bare_llama_8b_claude,0.2581,0.3142,0.2675,0.0318,0.472,0.0596,0.2201,0.7999,0.3303,0.1869,0.9524,0.3125,0.3087,0.7382,0.3778,0.1397,0.8067,0.2382,0.753,0.7795,0.7601,0.2289,0.4086,0.2934,0.385,0.658,0.4339,0.15,0.8456,0.2548,2339,13253,427,bare
rule_based_tfidf,bare_llama_8b_deepseek,0.2408,0.299,0.2502,0.0308,0.3846,0.057,0.2272,0.8402,0.3411,0.2007,0.9539,0.3316,0.3203,0.784,0.3913,0.1399,0.8187,0.239,0.7617,0.787,0.7685,0.2429,0.3929,0.3002,0.3875,0.6775,0.4378,0.1599,0.8516,0.2692,2853,14992,497,bare
rule_based_tfidf,bare_llama_8b_gemini,0.1416,0.2067,0.1507,0.0201,0.4402,0.0384,0.2091,0.8338,0.3171,0.1807,0.9326,0.3027,0.2412,0.8126,0.323,0.1216,0.8358,0.2123,0.7498,0.7812,0.7578,0.2569,0.445,0.3257,0.3354,0.6586,0.3871,0.134,0.8487,0.2315,2794,18050,498,bare
rule_based_tfidf,bare_llama_8b_gpt,0.2515,0.321,0.2635,0.0387,0.4921,0.0718,0.2144,0.8213,0.3264,0.1923,0.9557,0.3202,0.3172,0.7793,0.3886,0.1415,0.827,0.2417,0.7417,0.7743,0.7504,0.2287,0.4456,0.3023,0.3812,0.674,0.4322,0.1569,0.8614,0.2654,2672,14363,430,bare
